save_dir            : ./work_dirs/rank/AutoFormerSub/chaoyang/kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_chaoyang_kd.yaml
other_zc            : er
ds                  : chaoyang
acc_type            : kd
Build er ....
The 0-th AutoFormerSub arch:, er score: 1411.7007598876953
The 1-th AutoFormerSub arch:, er score: 1506.7701950073242
The 2-th AutoFormerSub arch:, er score: 1365.5727462768555
The 3-th AutoFormerSub arch:, er score: 1407.7575912475586
The 4-th AutoFormerSub arch:, er score: 1265.1365814208984
The 5-th AutoFormerSub arch:, er score: 1503.8772277832031
The 6-th AutoFormerSub arch:, er score: 1218.9656448364258
The 7-th AutoFormerSub arch:, er score: 1406.528091430664
The 8-th AutoFormerSub arch:, er score: 1305.378273010254
The 9-th AutoFormerSub arch:, er score: 1316.0860061645508
The 10-th AutoFormerSub arch:, er score: 1217.2445449829102
The 11-th AutoFormerSub arch:, er score: 1312.575294494629
The 12-th AutoFormerSub arch:, er score: 1316.4787826538086
The 13-th AutoFormerSub arch:, er score: 1409.2490005493164
The 14-th AutoFormerSub arch:, er score: 1507.030746459961
The 15-th AutoFormerSub arch:, er score: 1312.3776473999023
The 16-th AutoFormerSub arch:, er score: 1404.3413696289062
The 17-th AutoFormerSub arch:, er score: 1407.9758682250977
The 18-th AutoFormerSub arch:, er score: 1223.3184509277344
The 19-th AutoFormerSub arch:, er score: 1410.1115646362305
The 20-th AutoFormerSub arch:, er score: 1310.1913452148438
The 21-th AutoFormerSub arch:, er score: 1304.0543060302734
The 22-th AutoFormerSub arch:, er score: 1215.8225326538086
The 23-th AutoFormerSub arch:, er score: 1309.562484741211
The 24-th AutoFormerSub arch:, er score: 1402.8509521484375
The 25-th AutoFormerSub arch:, er score: 1412.5715637207031
The 26-th AutoFormerSub arch:, er score: 1460.721336364746
The 27-th AutoFormerSub arch:, er score: 1215.5624389648438
The 28-th AutoFormerSub arch:, er score: 1408.6706771850586
The 29-th AutoFormerSub arch:, er score: 1414.1570587158203
