save_dir            : ./work_dirs/rank/AutoFormerSub/cifar100/kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_c100_kd.yaml
other_zc            : er
ds                  : cifar100
acc_type            : kd
Build er ....
The 0-th AutoFormerSub arch:, er score: 155.07128190994263
The 1-th AutoFormerSub arch:, er score: 155.64209628105164
The 2-th AutoFormerSub arch:, er score: 158.60892415046692
The 3-th AutoFormerSub arch:, er score: 167.52803802490234
The 4-th AutoFormerSub arch:, er score: 162.75724530220032
The 5-th AutoFormerSub arch:, er score: 155.37902998924255
The 6-th AutoFormerSub arch:, er score: 340.75270652770996
The 7-th AutoFormerSub arch:, er score: 349.9928307533264
The 8-th AutoFormerSub arch:, er score: 136.88121342658997
The 9-th AutoFormerSub arch:, er score: 377.5118989944458
The 10-th AutoFormerSub arch:, er score: 366.2986764907837
The 11-th AutoFormerSub arch:, er score: 360.591157913208
The 12-th AutoFormerSub arch:, er score: 385.2463369369507
The 13-th AutoFormerSub arch:, er score: 145.89479541778564
The 14-th AutoFormerSub arch:, er score: 160.7787868976593
The 15-th AutoFormerSub arch:, er score: 163.88736057281494
The 16-th AutoFormerSub arch:, er score: 142.53711771965027
The 17-th AutoFormerSub arch:, er score: 154.30485153198242
The 18-th AutoFormerSub arch:, er score: 349.47636890411377
The 19-th AutoFormerSub arch:, er score: 362.7242822647095
The 20-th AutoFormerSub arch:, er score: 146.98885703086853
The 21-th AutoFormerSub arch:, er score: 166.36220574378967
The 22-th AutoFormerSub arch:, er score: 347.9487714767456
The 23-th AutoFormerSub arch:, er score: 353.948148727417
The 24-th AutoFormerSub arch:, er score: 132.42606496810913
The 25-th AutoFormerSub arch:, er score: 350.5593557357788
The 26-th AutoFormerSub arch:, er score: 143.020494222641
The 27-th AutoFormerSub arch:, er score: 358.12172985076904
The 28-th AutoFormerSub arch:, er score: 371.6823902130127
The 29-th AutoFormerSub arch:, er score: 359.65511894226074
The 30-th AutoFormerSub arch:, er score: 352.63518238067627
