save_dir            : ./work_dirs/rank/AutoFormerSub/flowers/kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_flowers_kd.yaml
other_zc            : er
ds                  : flowers
acc_type            : kd
Build er ....
The 0-th AutoFormerSub arch:, er score: 1411.4758911132812
The 1-th AutoFormerSub arch:, er score: 1506.908920288086
The 2-th AutoFormerSub arch:, er score: 1357.2836990356445
The 3-th AutoFormerSub arch:, er score: 1404.6228256225586
The 4-th AutoFormerSub arch:, er score: 1266.5437393188477
The 5-th AutoFormerSub arch:, er score: 1503.9619369506836
The 6-th AutoFormerSub arch:, er score: 1218.0742111206055
The 7-th AutoFormerSub arch:, er score: 1406.083869934082
The 8-th AutoFormerSub arch:, er score: 1304.9549713134766
The 9-th AutoFormerSub arch:, er score: 1308.0759963989258
The 10-th AutoFormerSub arch:, er score: 1218.7146759033203
The 11-th AutoFormerSub arch:, er score: 1311.6723327636719
The 12-th AutoFormerSub arch:, er score: 1313.6966018676758
The 13-th AutoFormerSub arch:, er score: 1409.93505859375
The 14-th AutoFormerSub arch:, er score: 1513.1694107055664
The 15-th AutoFormerSub arch:, er score: 1310.4278259277344
The 16-th AutoFormerSub arch:, er score: 1402.668342590332
The 17-th AutoFormerSub arch:, er score: 1408.8292999267578
The 18-th AutoFormerSub arch:, er score: 1219.7789840698242
The 19-th AutoFormerSub arch:, er score: 1410.1207962036133
The 20-th AutoFormerSub arch:, er score: 1309.834358215332
The 21-th AutoFormerSub arch:, er score: 1302.9396438598633
The 22-th AutoFormerSub arch:, er score: 1219.2223052978516
The 23-th AutoFormerSub arch:, er score: 1314.6797485351562
The 24-th AutoFormerSub arch:, er score: 1404.7782821655273
The 25-th AutoFormerSub arch:, er score: 1406.8375396728516
The 26-th AutoFormerSub arch:, er score: 1464.003074645996
The 27-th AutoFormerSub arch:, er score: 1220.0540084838867
The 28-th AutoFormerSub arch:, er score: 1403.0310592651367
The 29-th AutoFormerSub arch:, er score: 1409.2930908203125
The 30-th AutoFormerSub arch:, er score: 1212.8259811401367
The 31-th AutoFormerSub arch:, er score: 1312.209228515625
The 32-th AutoFormerSub arch:, er score: 1267.4110488891602
The 33-th AutoFormerSub arch:, er score: 1302.0853271484375
The 34-th AutoFormerSub arch:, er score: 1302.8755187988281
The 35-th AutoFormerSub arch:, er score: 1406.8981857299805
The 36-th AutoFormerSub arch:, er score: 1312.4624633789062
The 37-th AutoFormerSub arch:, er score: 1269.0334930419922
The 38-th AutoFormerSub arch:, er score: 1304.595085144043
The 39-th AutoFormerSub arch:, er score: 1272.4279403686523
The 40-th AutoFormerSub arch:, er score: 1407.0466918945312
The 41-th AutoFormerSub arch:, er score: 1216.0192260742188
The 42-th AutoFormerSub arch:, er score: 1310.7430419921875
The 43-th AutoFormerSub arch:, er score: 1402.920768737793
The 44-th AutoFormerSub arch:, er score: 1363.2875289916992
The 45-th AutoFormerSub arch:, er score: 1364.44873046875
The 46-th AutoFormerSub arch:, er score: 1308.6954956054688
The 47-th AutoFormerSub arch:, er score: 1313.6899032592773
The 48-th AutoFormerSub arch:, er score: 1504.4881286621094
The 49-th AutoFormerSub arch:, er score: 1269.4249725341797
The 50-th AutoFormerSub arch:, er score: 1405.0030059814453
The 51-th AutoFormerSub arch:, er score: 1464.9708633422852
The 52-th AutoFormerSub arch:, er score: 1307.6949081420898
The 53-th AutoFormerSub arch:, er score: 1215.2148818969727
The 54-th AutoFormerSub arch:, er score: 1507.8844451904297
The 55-th AutoFormerSub arch:, er score: 1465.2558135986328
The 56-th AutoFormerSub arch:, er score: 1507.5500946044922
The 57-th AutoFormerSub arch:, er score: 1217.0218048095703
The 58-th AutoFormerSub arch:, er score: 1463.4795608520508
The 59-th AutoFormerSub arch:, er score: 1511.0412826538086
The 60-th AutoFormerSub arch:, er score: 1411.701171875
The 61-th AutoFormerSub arch:, er score: 1272.232780456543
The 62-th AutoFormerSub arch:, er score: 1358.434959411621
The 63-th AutoFormerSub arch:, er score: 1261.5444641113281
The 64-th AutoFormerSub arch:, er score: 1408.0077896118164
The 65-th AutoFormerSub arch:, er score: 1405.6491394042969
The 66-th AutoFormerSub arch:, er score: 1360.5153198242188
The 67-th AutoFormerSub arch:, er score: 1309.7730865478516
The 68-th AutoFormerSub arch:, er score: 1410.0646743774414
The 69-th AutoFormerSub arch:, er score: 1307.6656875610352
The 70-th AutoFormerSub arch:, er score: 1404.5954971313477
The 71-th AutoFormerSub arch:, er score: 1312.7286376953125
The 72-th AutoFormerSub arch:, er score: 1313.3825378417969
The 73-th AutoFormerSub arch:, er score: 1504.3217697143555
The 74-th AutoFormerSub arch:, er score: 1504.2563171386719
The 75-th AutoFormerSub arch:, er score: 1300.1130599975586
The 76-th AutoFormerSub arch:, er score: 1315.0478515625
The 77-th AutoFormerSub arch:, er score: 1507.2574844360352
The 78-th AutoFormerSub arch:, er score: 1365.2184448242188
The 79-th AutoFormerSub arch:, er score: 1220.426399230957
The 80-th AutoFormerSub arch:, er score: 1269.3337326049805
The 81-th AutoFormerSub arch:, er score: 1311.7775039672852
The 82-th AutoFormerSub arch:, er score: 1316.3309020996094
The 83-th AutoFormerSub arch:, er score: 1405.8038940429688
The 84-th AutoFormerSub arch:, er score: 1314.3405303955078
The 85-th AutoFormerSub arch:, er score: 1302.1610641479492
The 86-th AutoFormerSub arch:, er score: 1457.5801544189453
The 87-th AutoFormerSub arch:, er score: 1460.2294540405273
The 88-th AutoFormerSub arch:, er score: 1301.7588729858398
The 89-th AutoFormerSub arch:, er score: 1455.803810119629
The 90-th AutoFormerSub arch:, er score: 1310.6758880615234
The 91-th AutoFormerSub arch:, er score: 1308.4610443115234
The 92-th AutoFormerSub arch:, er score: 1463.4005508422852
The 93-th AutoFormerSub arch:, er score: 1265.9245834350586
The 94-th AutoFormerSub arch:, er score: 1304.937858581543
The 95-th AutoFormerSub arch:, er score: 1306.1942825317383
The 96-th AutoFormerSub arch:, er score: 1313.9640731811523
The 97-th AutoFormerSub arch:, er score: 1218.1183547973633
The 98-th AutoFormerSub arch:, er score: 1402.8645324707031
The 99-th AutoFormerSub arch:, er score: 1216.5406036376953
Rank consistency on dataset flowers: kendall: 0.40842471776634415, spearman: 0.5667022752183337, pearson: 0.6852586387258045
Finished, time cost: 0.1456750461128023 hour.
