save_dir            : ./work_dirs/rank/AutoFormerSub_base
gt_path             : ./gt_results/gt_autoformer.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_chaoyang_base.yaml
other_zc            : er
ds                  : chaoyang
Build er ....
The 0-th AutoFormerSub arch:, er score: 889.8294143676758
The 1-th AutoFormerSub arch:, er score: 330.2185115814209
The 2-th AutoFormerSub arch:, er score: 326.5119514465332
The 3-th AutoFormerSub arch:, er score: 383.0318431854248
The 4-th AutoFormerSub arch:, er score: 410.8479652404785
The 5-th AutoFormerSub arch:, er score: 1038.7800216674805
The 6-th AutoFormerSub arch:, er score: 341.6201572418213
The 7-th AutoFormerSub arch:, er score: 392.6668891906738
The 8-th AutoFormerSub arch:, er score: 891.2377700805664
The 9-th AutoFormerSub arch:, er score: 378.6793403625488
The 10-th AutoFormerSub arch:, er score: 1020.5919036865234
The 11-th AutoFormerSub arch:, er score: 866.8273544311523
The 12-th AutoFormerSub arch:, er score: 874.585823059082
The 13-th AutoFormerSub arch:, er score: 951.2274932861328
The 14-th AutoFormerSub arch:, er score: 440.122594833374
The 15-th AutoFormerSub arch:, er score: 449.82537841796875
The 16-th AutoFormerSub arch:, er score: 355.1728687286377
The 17-th AutoFormerSub arch:, er score: 434.6228256225586
The 18-th AutoFormerSub arch:, er score: 428.81971168518066
The 19-th AutoFormerSub arch:, er score: 397.4576587677002
The 20-th AutoFormerSub arch:, er score: 375.5668468475342
The 21-th AutoFormerSub arch:, er score: 409.3705635070801
The 22-th AutoFormerSub arch:, er score: 326.3729934692383
The 23-th AutoFormerSub arch:, er score: 351.7495651245117
The 24-th AutoFormerSub arch:, er score: 960.3694076538086
The 25-th AutoFormerSub arch:, er score: 402.01708984375
The 26-th AutoFormerSub arch:, er score: 1006.8473129272461
The 27-th AutoFormerSub arch:, er score: 948.0797271728516
The 28-th AutoFormerSub arch:, er score: 953.1010131835938
The 29-th AutoFormerSub arch:, er score: 335.6919822692871
The 30-th AutoFormerSub arch:, er score: 357.99277114868164
The 31-th AutoFormerSub arch:, er score: 403.31954193115234
The 32-th AutoFormerSub arch:, er score: 914.7356033325195
The 33-th AutoFormerSub arch:, er score: 372.6516761779785
The 34-th AutoFormerSub arch:, er score: 888.968132019043
The 35-th AutoFormerSub arch:, er score: 357.70951080322266
The 36-th AutoFormerSub arch:, er score: 418.4452152252197
The 37-th AutoFormerSub arch:, er score: 437.2695426940918
The 38-th AutoFormerSub arch:, er score: 421.2528648376465
The 39-th AutoFormerSub arch:, er score: 318.77585220336914
The 40-th AutoFormerSub arch:, er score: 363.64788246154785
The 41-th AutoFormerSub arch:, er score: 347.23519706726074
The 42-th AutoFormerSub arch:, er score: 398.4800453186035
The 43-th AutoFormerSub arch:, er score: 387.113805770874
The 44-th AutoFormerSub arch:, er score: 344.88992500305176
The 45-th AutoFormerSub arch:, er score: 457.60985565185547
The 46-th AutoFormerSub arch:, er score: 322.428617477417
The 47-th AutoFormerSub arch:, er score: 953.0069961547852
The 48-th AutoFormerSub arch:, er score: 1034.178611755371
The 49-th AutoFormerSub arch:, er score: 429.62435150146484
The 50-th AutoFormerSub arch:, er score: 374.21766471862793
The 51-th AutoFormerSub arch:, er score: 431.019681930542
The 52-th AutoFormerSub arch:, er score: 904.7509307861328
The 53-th AutoFormerSub arch:, er score: 367.588529586792
The 54-th AutoFormerSub arch:, er score: 1012.2638168334961
The 55-th AutoFormerSub arch:, er score: 290.9808511734009
The 56-th AutoFormerSub arch:, er score: 373.8350524902344
The 57-th AutoFormerSub arch:, er score: 315.8111686706543
The 58-th AutoFormerSub arch:, er score: 381.56038093566895
The 59-th AutoFormerSub arch:, er score: 347.91800689697266
The 60-th AutoFormerSub arch:, er score: 391.7878017425537
The 61-th AutoFormerSub arch:, er score: 424.0684642791748
The 62-th AutoFormerSub arch:, er score: 417.40629386901855
The 63-th AutoFormerSub arch:, er score: 414.7023468017578
The 64-th AutoFormerSub arch:, er score: 923.9162902832031
The 65-th AutoFormerSub arch:, er score: 1026.1862716674805
The 66-th AutoFormerSub arch:, er score: 975.5034866333008
The 67-th AutoFormerSub arch:, er score: 1010.3085708618164
The 68-th AutoFormerSub arch:, er score: 342.4450378417969
The 69-th AutoFormerSub arch:, er score: 976.7887954711914
The 70-th AutoFormerSub arch:, er score: 989.0223007202148
The 71-th AutoFormerSub arch:, er score: 1014.9044418334961
The 72-th AutoFormerSub arch:, er score: 408.8000240325928
The 73-th AutoFormerSub arch:, er score: 877.6944427490234
The 74-th AutoFormerSub arch:, er score: 400.5141830444336
The 75-th AutoFormerSub arch:, er score: 381.5242862701416
The 76-th AutoFormerSub arch:, er score: 351.4137382507324
The 77-th AutoFormerSub arch:, er score: 380.01943588256836
The 78-th AutoFormerSub arch:, er score: 928.9664154052734
The 79-th AutoFormerSub arch:, er score: 956.4268569946289
The 80-th AutoFormerSub arch:, er score: 385.6872253417969
The 81-th AutoFormerSub arch:, er score: 968.9389038085938
The 82-th AutoFormerSub arch:, er score: 408.41533851623535
The 83-th AutoFormerSub arch:, er score: 323.8831539154053
The 84-th AutoFormerSub arch:, er score: 879.2504730224609
The 85-th AutoFormerSub arch:, er score: 395.74021339416504
The 86-th AutoFormerSub arch:, er score: 429.3508586883545
The 87-th AutoFormerSub arch:, er score: 950.3208923339844
The 88-th AutoFormerSub arch:, er score: 358.2542304992676
The 89-th AutoFormerSub arch:, er score: 455.22045516967773
The 90-th AutoFormerSub arch:, er score: 945.1307983398438
The 91-th AutoFormerSub arch:, er score: 424.9868335723877
The 92-th AutoFormerSub arch:, er score: 946.0828628540039
The 93-th AutoFormerSub arch:, er score: 891.6368789672852
The 94-th AutoFormerSub arch:, er score: 965.9085845947266
The 95-th AutoFormerSub arch:, er score: 963.4890213012695
The 96-th AutoFormerSub arch:, er score: 419.3901824951172
The 97-th AutoFormerSub arch:, er score: 354.7014274597168
The 98-th AutoFormerSub arch:, er score: 348.1141300201416
The 99-th AutoFormerSub arch:, er score: 376.0806312561035
Rank consistency on dataset chaoyang: kendall: -0.1790421774340439, spearman: -0.2674487387911648, pearson: -0.3637362527699946
Finished, time cost: 0.18485222862826453 hour.
