save_dir            : ./work_dirs/rank/AutoFormerSub_base
gt_path             : gt_results/gt_autoformer.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_chaoyang_base.yaml
other_zc            : er
ds                  : chaoyang
Build er ....
The 0-th AutoFormerSub arch:, er score: 1220.655647277832
The 1-th AutoFormerSub arch:, er score: 1514.492660522461
The 2-th AutoFormerSub arch:, er score: 1420.379051208496
The 3-th AutoFormerSub arch:, er score: 1467.2995910644531
The 4-th AutoFormerSub arch:, er score: 1311.4036178588867
The 5-th AutoFormerSub arch:, er score: 1415.1189804077148
The 6-th AutoFormerSub arch:, er score: 1415.6405181884766
The 7-th AutoFormerSub arch:, er score: 1370.104637145996
The 8-th AutoFormerSub arch:, er score: 1222.3392486572266
The 9-th AutoFormerSub arch:, er score: 1513.8988342285156
The 10-th AutoFormerSub arch:, er score: 1411.4871444702148
The 11-th AutoFormerSub arch:, er score: 1223.3699798583984
The 12-th AutoFormerSub arch:, er score: 1219.0819778442383
The 13-th AutoFormerSub arch:, er score: 1319.300064086914
The 14-th AutoFormerSub arch:, er score: 1416.2584915161133
The 15-th AutoFormerSub arch:, er score: 1519.2295532226562
The 16-th AutoFormerSub arch:, er score: 1273.018783569336
The 17-th AutoFormerSub arch:, er score: 1523.4856491088867
The 18-th AutoFormerSub arch:, er score: 1309.4113159179688
The 19-th AutoFormerSub arch:, er score: 1474.3460388183594
The 20-th AutoFormerSub arch:, er score: 1374.019302368164
The 21-th AutoFormerSub arch:, er score: 1421.9379501342773
The 22-th AutoFormerSub arch:, er score: 1271.9825286865234
The 23-th AutoFormerSub arch:, er score: 1469.9737396240234
The 24-th AutoFormerSub arch:, er score: 1319.3753509521484
The 25-th AutoFormerSub arch:, er score: 1411.8290100097656
The 26-th AutoFormerSub arch:, er score: 1414.5366439819336
The 27-th AutoFormerSub arch:, er score: 1320.337173461914
The 28-th AutoFormerSub arch:, er score: 1316.0308990478516
The 29-th AutoFormerSub arch:, er score: 1311.407958984375
The 30-th AutoFormerSub arch:, er score: 1368.2922134399414
The 31-th AutoFormerSub arch:, er score: 1472.2526550292969
The 32-th AutoFormerSub arch:, er score: 1322.1897354125977
The 33-th AutoFormerSub arch:, er score: 1414.186393737793
The 34-th AutoFormerSub arch:, er score: 1223.061134338379
The 35-th AutoFormerSub arch:, er score: 1313.106216430664
The 36-th AutoFormerSub arch:, er score: 1516.2906646728516
The 37-th AutoFormerSub arch:, er score: 1416.7922668457031
The 38-th AutoFormerSub arch:, er score: 1416.9803161621094
The 39-th AutoFormerSub arch:, er score: 1314.5671997070312
The 40-th AutoFormerSub arch:, er score: 1273.310661315918
The 41-th AutoFormerSub arch:, er score: 1269.6699905395508
The 42-th AutoFormerSub arch:, er score: 1313.7907333374023
The 43-th AutoFormerSub arch:, er score: 1462.9095840454102
The 44-th AutoFormerSub arch:, er score: 1513.2811126708984
