save_dir            : ./work_dirs/rank/AutoFormerSub_base
gt_path             : ./gt_results/gt_autoformer.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_c100_base.yaml
other_zc            : er
ds                  : cifar100
Build er ....
The 0-th AutoFormerSub arch:, er score: 1222.4988403320312
The 1-th AutoFormerSub arch:, er score: 1512.5235137939453
The 2-th AutoFormerSub arch:, er score: 1411.0318756103516
The 3-th AutoFormerSub arch:, er score: 1464.6776275634766
The 4-th AutoFormerSub arch:, er score: 1309.5759963989258
The 5-th AutoFormerSub arch:, er score: 1415.6240310668945
The 6-th AutoFormerSub arch:, er score: 1416.3879318237305
The 7-th AutoFormerSub arch:, er score: 1374.4784851074219
The 8-th AutoFormerSub arch:, er score: 1226.6920623779297
The 9-th AutoFormerSub arch:, er score: 1520.8759155273438
The 10-th AutoFormerSub arch:, er score: 1413.3654251098633
The 11-th AutoFormerSub arch:, er score: 1224.4526443481445
The 12-th AutoFormerSub arch:, er score: 1222.782485961914
The 13-th AutoFormerSub arch:, er score: 1319.7770233154297
The 14-th AutoFormerSub arch:, er score: 1412.0853118896484
The 15-th AutoFormerSub arch:, er score: 1523.377311706543
The 16-th AutoFormerSub arch:, er score: 1272.9267578125
The 17-th AutoFormerSub arch:, er score: 1520.286361694336
The 18-th AutoFormerSub arch:, er score: 1311.1100311279297
The 19-th AutoFormerSub arch:, er score: 1472.4463195800781
The 20-th AutoFormerSub arch:, er score: 1372.2133712768555
The 21-th AutoFormerSub arch:, er score: 1413.722297668457
The 22-th AutoFormerSub arch:, er score: 1272.3953323364258
The 23-th AutoFormerSub arch:, er score: 1467.7018127441406
The 24-th AutoFormerSub arch:, er score: 1320.4957885742188
The 25-th AutoFormerSub arch:, er score: 1414.1581573486328
The 26-th AutoFormerSub arch:, er score: 1412.6706237792969
The 27-th AutoFormerSub arch:, er score: 1322.2830429077148
The 28-th AutoFormerSub arch:, er score: 1314.0554504394531
The 29-th AutoFormerSub arch:, er score: 1311.853385925293
The 30-th AutoFormerSub arch:, er score: 1367.3022766113281
The 31-th AutoFormerSub arch:, er score: 1471.8839874267578
The 32-th AutoFormerSub arch:, er score: 1324.849624633789
The 33-th AutoFormerSub arch:, er score: 1412.7095031738281
The 34-th AutoFormerSub arch:, er score: 1222.6295776367188
The 35-th AutoFormerSub arch:, er score: 1313.9057006835938
The 36-th AutoFormerSub arch:, er score: 1518.317527770996
The 37-th AutoFormerSub arch:, er score: 1417.682960510254
The 38-th AutoFormerSub arch:, er score: 1415.1299667358398
The 39-th AutoFormerSub arch:, er score: 1312.5288391113281
The 40-th AutoFormerSub arch:, er score: 1269.304817199707
The 41-th AutoFormerSub arch:, er score: 1271.9087982177734
The 42-th AutoFormerSub arch:, er score: 1315.0609893798828
The 43-th AutoFormerSub arch:, er score: 1467.166603088379
The 44-th AutoFormerSub arch:, er score: 1511.500114440918
The 45-th AutoFormerSub arch:, er score: 1517.4799194335938
The 46-th AutoFormerSub arch:, er score: 1372.2776107788086
The 47-th AutoFormerSub arch:, er score: 1325.7613906860352
The 48-th AutoFormerSub arch:, er score: 1418.1375274658203
The 49-th AutoFormerSub arch:, er score: 1516.732894897461
The 50-th AutoFormerSub arch:, er score: 1422.2297668457031
The 51-th AutoFormerSub arch:, er score: 1465.381736755371
The 52-th AutoFormerSub arch:, er score: 1318.9638977050781
The 53-th AutoFormerSub arch:, er score: 1371.385269165039
The 54-th AutoFormerSub arch:, er score: 1412.3454818725586
The 55-th AutoFormerSub arch:, er score: 1467.4231338500977
The 56-th AutoFormerSub arch:, er score: 1512.5328750610352
The 57-th AutoFormerSub arch:, er score: 1310.6314544677734
The 58-th AutoFormerSub arch:, er score: 1415.5666275024414
The 59-th AutoFormerSub arch:, er score: 1418.433006286621
The 60-th AutoFormerSub arch:, er score: 1468.1977462768555
The 61-th AutoFormerSub arch:, er score: 1462.3332138061523
The 62-th AutoFormerSub arch:, er score: 1514.0390090942383
The 63-th AutoFormerSub arch:, er score: 1513.7686920166016
The 64-th AutoFormerSub arch:, er score: 1322.6656188964844
The 65-th AutoFormerSub arch:, er score: 1414.5726776123047
The 66-th AutoFormerSub arch:, er score: 1316.408088684082
The 67-th AutoFormerSub arch:, er score: 1415.6383438110352
The 68-th AutoFormerSub arch:, er score: 1272.4297561645508
The 69-th AutoFormerSub arch:, er score: 1324.7399978637695
The 70-th AutoFormerSub arch:, er score: 1415.7005081176758
The 71-th AutoFormerSub arch:, er score: 1417.253761291504
The 72-th AutoFormerSub arch:, er score: 1476.815658569336
The 73-th AutoFormerSub arch:, er score: 1223.2847442626953
The 74-th AutoFormerSub arch:, er score: 1370.9843139648438
The 75-th AutoFormerSub arch:, er score: 1414.2474517822266
The 76-th AutoFormerSub arch:, er score: 1467.0434112548828
The 77-th AutoFormerSub arch:, er score: 1317.693016052246
The 78-th AutoFormerSub arch:, er score: 1319.5824279785156
The 79-th AutoFormerSub arch:, er score: 1318.1534805297852
The 80-th AutoFormerSub arch:, er score: 1468.56982421875
The 81-th AutoFormerSub arch:, er score: 1318.576072692871
The 82-th AutoFormerSub arch:, er score: 1512.813575744629
The 83-th AutoFormerSub arch:, er score: 1419.2611923217773
The 84-th AutoFormerSub arch:, er score: 1221.6753768920898
