save_dir            : ./work_dirs/rank/AutoFormerSub_base
gt_path             : ./gt_results/gt_autoformer.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_flowers_base.yaml
other_zc            : er
ds                  : flowers
Build er ....
The 0-th AutoFormerSub arch:, er score: 1220.4409484863281
The 1-th AutoFormerSub arch:, er score: 1515.6147689819336
The 2-th AutoFormerSub arch:, er score: 1419.3593215942383
The 3-th AutoFormerSub arch:, er score: 1469.532859802246
The 4-th AutoFormerSub arch:, er score: 1311.1269226074219
The 5-th AutoFormerSub arch:, er score: 1417.4853515625
The 6-th AutoFormerSub arch:, er score: 1408.9765090942383
The 7-th AutoFormerSub arch:, er score: 1373.8419036865234
The 8-th AutoFormerSub arch:, er score: 1223.5454940795898
The 9-th AutoFormerSub arch:, er score: 1515.3658294677734
The 10-th AutoFormerSub arch:, er score: 1413.3078079223633
The 11-th AutoFormerSub arch:, er score: 1221.2444763183594
The 12-th AutoFormerSub arch:, er score: 1221.8605270385742
The 13-th AutoFormerSub arch:, er score: 1319.1033401489258
The 14-th AutoFormerSub arch:, er score: 1415.2612609863281
The 15-th AutoFormerSub arch:, er score: 1520.7341766357422
The 16-th AutoFormerSub arch:, er score: 1271.9178848266602
The 17-th AutoFormerSub arch:, er score: 1526.298698425293
The 18-th AutoFormerSub arch:, er score: 1320.926383972168
The 19-th AutoFormerSub arch:, er score: 1472.3007736206055
The 20-th AutoFormerSub arch:, er score: 1371.8107299804688
The 21-th AutoFormerSub arch:, er score: 1418.2944793701172
The 22-th AutoFormerSub arch:, er score: 1271.966552734375
The 23-th AutoFormerSub arch:, er score: 1467.0323791503906
The 24-th AutoFormerSub arch:, er score: 1320.3608093261719
The 25-th AutoFormerSub arch:, er score: 1407.314956665039
The 26-th AutoFormerSub arch:, er score: 1417.678077697754
The 27-th AutoFormerSub arch:, er score: 1317.0581130981445
The 28-th AutoFormerSub arch:, er score: 1319.4908828735352
The 29-th AutoFormerSub arch:, er score: 1315.1850128173828
The 30-th AutoFormerSub arch:, er score: 1370.9407272338867
The 31-th AutoFormerSub arch:, er score: 1469.0413513183594
The 32-th AutoFormerSub arch:, er score: 1321.2228393554688
The 33-th AutoFormerSub arch:, er score: 1425.4176864624023
The 34-th AutoFormerSub arch:, er score: 1219.983871459961
The 35-th AutoFormerSub arch:, er score: 1315.2086944580078
The 36-th AutoFormerSub arch:, er score: 1514.8386917114258
The 37-th AutoFormerSub arch:, er score: 1417.915641784668
The 38-th AutoFormerSub arch:, er score: 1416.8646545410156
The 39-th AutoFormerSub arch:, er score: 1310.0478591918945
The 40-th AutoFormerSub arch:, er score: 1271.1217193603516
The 41-th AutoFormerSub arch:, er score: 1270.1339416503906
The 42-th AutoFormerSub arch:, er score: 1315.4187698364258
The 43-th AutoFormerSub arch:, er score: 1466.0711288452148
The 44-th AutoFormerSub arch:, er score: 1508.3340682983398
The 45-th AutoFormerSub arch:, er score: 1520.8047485351562
The 46-th AutoFormerSub arch:, er score: 1370.3518371582031
The 47-th AutoFormerSub arch:, er score: 1325.3219757080078
The 48-th AutoFormerSub arch:, er score: 1415.6648025512695
