save_dir            : ./work_dirs/rank/AutoFormerSub_kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_chaoyang_kd.yaml
other_zc            : er
ds                  : chaoyang
Build er ....
The 0-th AutoFormerSub arch:, er score: 1416.9095916748047
The 1-th AutoFormerSub arch:, er score: 1511.572883605957
The 2-th AutoFormerSub arch:, er score: 1371.107307434082
The 3-th AutoFormerSub arch:, er score: 1415.3197708129883
The 4-th AutoFormerSub arch:, er score: 1272.0860137939453
The 5-th AutoFormerSub arch:, er score: 1507.8140335083008
The 6-th AutoFormerSub arch:, er score: 1228.1863479614258
The 7-th AutoFormerSub arch:, er score: 1411.7685470581055
The 8-th AutoFormerSub arch:, er score: 1309.2926788330078
The 9-th AutoFormerSub arch:, er score: 1316.5802612304688
The 10-th AutoFormerSub arch:, er score: 1222.1244735717773
The 11-th AutoFormerSub arch:, er score: 1320.009635925293
The 12-th AutoFormerSub arch:, er score: 1314.7886199951172
The 13-th AutoFormerSub arch:, er score: 1416.0083618164062
The 14-th AutoFormerSub arch:, er score: 1515.2618789672852
The 15-th AutoFormerSub arch:, er score: 1316.4177474975586
The 16-th AutoFormerSub arch:, er score: 1409.2820358276367
The 17-th AutoFormerSub arch:, er score: 1412.0514526367188
The 18-th AutoFormerSub arch:, er score: 1224.9323959350586
The 19-th AutoFormerSub arch:, er score: 1417.6892929077148
The 20-th AutoFormerSub arch:, er score: 1321.2835998535156
The 21-th AutoFormerSub arch:, er score: 1309.7350769042969
The 22-th AutoFormerSub arch:, er score: 1223.1930770874023
The 23-th AutoFormerSub arch:, er score: 1316.282958984375
The 24-th AutoFormerSub arch:, er score: 1413.6404342651367
The 25-th AutoFormerSub arch:, er score: 1411.5786361694336
The 26-th AutoFormerSub arch:, er score: 1476.5910034179688
The 27-th AutoFormerSub arch:, er score: 1223.2948532104492
The 28-th AutoFormerSub arch:, er score: 1419.4095306396484
The 29-th AutoFormerSub arch:, er score: 1419.8995361328125
The 30-th AutoFormerSub arch:, er score: 1224.9303512573242
The 31-th AutoFormerSub arch:, er score: 1319.986427307129
The 32-th AutoFormerSub arch:, er score: 1269.9122695922852
The 33-th AutoFormerSub arch:, er score: 1315.9766082763672
The 34-th AutoFormerSub arch:, er score: 1311.2924270629883
The 35-th AutoFormerSub arch:, er score: 1416.3389205932617
The 36-th AutoFormerSub arch:, er score: 1316.1069412231445
The 37-th AutoFormerSub arch:, er score: 1268.908058166504
The 38-th AutoFormerSub arch:, er score: 1312.635269165039
The 39-th AutoFormerSub arch:, er score: 1272.7692108154297
The 40-th AutoFormerSub arch:, er score: 1410.8352279663086
The 41-th AutoFormerSub arch:, er score: 1227.2021026611328
The 42-th AutoFormerSub arch:, er score: 1317.5948791503906
The 43-th AutoFormerSub arch:, er score: 1415.1925354003906
The 44-th AutoFormerSub arch:, er score: 1372.365852355957
The 45-th AutoFormerSub arch:, er score: 1374.8197174072266
The 46-th AutoFormerSub arch:, er score: 1316.6748580932617
The 47-th AutoFormerSub arch:, er score: 1315.2862396240234
The 48-th AutoFormerSub arch:, er score: 1517.1685256958008
The 49-th AutoFormerSub arch:, er score: 1270.4402542114258
The 50-th AutoFormerSub arch:, er score: 1419.395866394043
The 51-th AutoFormerSub arch:, er score: 1469.346336364746
The 52-th AutoFormerSub arch:, er score: 1313.8003463745117
The 53-th AutoFormerSub arch:, er score: 1220.23291015625
The 54-th AutoFormerSub arch:, er score: 1514.5185012817383
The 55-th AutoFormerSub arch:, er score: 1466.8787307739258
The 56-th AutoFormerSub arch:, er score: 1516.741813659668
The 57-th AutoFormerSub arch:, er score: 1226.2289810180664
The 58-th AutoFormerSub arch:, er score: 1474.899284362793
The 59-th AutoFormerSub arch:, er score: 1514.3955764770508
The 60-th AutoFormerSub arch:, er score: 1413.9432525634766
The 61-th AutoFormerSub arch:, er score: 1273.2462997436523
The 62-th AutoFormerSub arch:, er score: 1370.9091033935547
The 63-th AutoFormerSub arch:, er score: 1272.3885803222656
The 64-th AutoFormerSub arch:, er score: 1414.242546081543
The 65-th AutoFormerSub arch:, er score: 1413.30810546875
The 66-th AutoFormerSub arch:, er score: 1373.575424194336
The 67-th AutoFormerSub arch:, er score: 1315.1128540039062
The 68-th AutoFormerSub arch:, er score: 1420.153450012207
The 69-th AutoFormerSub arch:, er score: 1316.6944961547852
The 70-th AutoFormerSub arch:, er score: 1412.9068222045898
