save_dir            : ./work_dirs/rank/AutoFormerSub_kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_c100_kd.yaml
other_zc            : er
ds                  : cifar100
Build er ....
The 0-th AutoFormerSub arch:, er score: 1418.4664916992188
The 1-th AutoFormerSub arch:, er score: 1508.3110427856445
The 2-th AutoFormerSub arch:, er score: 1370.0050201416016
The 3-th AutoFormerSub arch:, er score: 1417.9961395263672
The 4-th AutoFormerSub arch:, er score: 1272.3738479614258
The 5-th AutoFormerSub arch:, er score: 1508.8592834472656
The 6-th AutoFormerSub arch:, er score: 1226.261245727539
The 7-th AutoFormerSub arch:, er score: 1414.8104858398438
The 8-th AutoFormerSub arch:, er score: 1312.1657409667969
The 9-th AutoFormerSub arch:, er score: 1319.5981674194336
The 10-th AutoFormerSub arch:, er score: 1221.4359664916992
The 11-th AutoFormerSub arch:, er score: 1318.9534149169922
The 12-th AutoFormerSub arch:, er score: 1319.6004943847656
The 13-th AutoFormerSub arch:, er score: 1415.1223220825195
The 14-th AutoFormerSub arch:, er score: 1514.8962783813477
The 15-th AutoFormerSub arch:, er score: 1317.9753494262695
The 16-th AutoFormerSub arch:, er score: 1414.3039169311523
The 17-th AutoFormerSub arch:, er score: 1414.109016418457
The 18-th AutoFormerSub arch:, er score: 1218.9955291748047
The 19-th AutoFormerSub arch:, er score: 1419.9616928100586
The 20-th AutoFormerSub arch:, er score: 1321.6537170410156
The 21-th AutoFormerSub arch:, er score: 1308.1608581542969
The 22-th AutoFormerSub arch:, er score: 1220.9719467163086
The 23-th AutoFormerSub arch:, er score: 1320.2424926757812
The 24-th AutoFormerSub arch:, er score: 1415.0811462402344
The 25-th AutoFormerSub arch:, er score: 1419.1903686523438
The 26-th AutoFormerSub arch:, er score: 1471.8321685791016
The 27-th AutoFormerSub arch:, er score: 1221.525535583496
The 28-th AutoFormerSub arch:, er score: 1415.4500885009766
The 29-th AutoFormerSub arch:, er score: 1417.7245178222656
The 30-th AutoFormerSub arch:, er score: 1223.675148010254
The 31-th AutoFormerSub arch:, er score: 1321.5358123779297
The 32-th AutoFormerSub arch:, er score: 1272.0515060424805
The 33-th AutoFormerSub arch:, er score: 1304.43017578125
The 34-th AutoFormerSub arch:, er score: 1312.5651626586914
The 35-th AutoFormerSub arch:, er score: 1412.6473007202148
The 36-th AutoFormerSub arch:, er score: 1317.9493865966797
The 37-th AutoFormerSub arch:, er score: 1274.9362106323242
The 38-th AutoFormerSub arch:, er score: 1307.1901397705078
The 39-th AutoFormerSub arch:, er score: 1275.7307662963867
The 40-th AutoFormerSub arch:, er score: 1415.1174621582031
The 41-th AutoFormerSub arch:, er score: 1225.77294921875
The 42-th AutoFormerSub arch:, er score: 1314.8892364501953
The 43-th AutoFormerSub arch:, er score: 1410.6913604736328
The 44-th AutoFormerSub arch:, er score: 1368.8316345214844
The 45-th AutoFormerSub arch:, er score: 1372.8149719238281
The 46-th AutoFormerSub arch:, er score: 1314.105239868164
The 47-th AutoFormerSub arch:, er score: 1315.0479049682617
The 48-th AutoFormerSub arch:, er score: 1513.7969284057617
The 49-th AutoFormerSub arch:, er score: 1273.9639739990234
The 50-th AutoFormerSub arch:, er score: 1414.4243927001953
The 51-th AutoFormerSub arch:, er score: 1466.1279525756836
The 52-th AutoFormerSub arch:, er score: 1310.7421875
The 53-th AutoFormerSub arch:, er score: 1220.5991439819336
The 54-th AutoFormerSub arch:, er score: 1518.709358215332
The 55-th AutoFormerSub arch:, er score: 1463.1651153564453
The 56-th AutoFormerSub arch:, er score: 1513.0240936279297
The 57-th AutoFormerSub arch:, er score: 1223.9551162719727
The 58-th AutoFormerSub arch:, er score: 1469.698257446289
The 59-th AutoFormerSub arch:, er score: 1515.61083984375
The 60-th AutoFormerSub arch:, er score: 1414.5695495605469
The 61-th AutoFormerSub arch:, er score: 1276.0014343261719
The 62-th AutoFormerSub arch:, er score: 1374.881462097168
The 63-th AutoFormerSub arch:, er score: 1270.9596481323242
The 64-th AutoFormerSub arch:, er score: 1413.2242279052734
The 65-th AutoFormerSub arch:, er score: 1409.67578125
The 66-th AutoFormerSub arch:, er score: 1368.6071319580078
The 67-th AutoFormerSub arch:, er score: 1311.4736557006836
The 68-th AutoFormerSub arch:, er score: 1416.9230346679688
The 69-th AutoFormerSub arch:, er score: 1317.2394943237305
The 70-th AutoFormerSub arch:, er score: 1410.7221145629883
The 71-th AutoFormerSub arch:, er score: 1316.7228775024414
The 72-th AutoFormerSub arch:, er score: 1322.0679092407227
The 73-th AutoFormerSub arch:, er score: 1517.0545272827148
The 74-th AutoFormerSub arch:, er score: 1510.9453430175781
The 75-th AutoFormerSub arch:, er score: 1311.169059753418
The 76-th AutoFormerSub arch:, er score: 1315.965934753418
The 77-th AutoFormerSub arch:, er score: 1509.2919540405273
The 78-th AutoFormerSub arch:, er score: 1371.1092376708984
The 79-th AutoFormerSub arch:, er score: 1226.733299255371
The 80-th AutoFormerSub arch:, er score: 1274.2097854614258
The 81-th AutoFormerSub arch:, er score: 1320.1542358398438
The 82-th AutoFormerSub arch:, er score: 1322.3432006835938
The 83-th AutoFormerSub arch:, er score: 1412.3867568969727
The 84-th AutoFormerSub arch:, er score: 1319.0368881225586
The 85-th AutoFormerSub arch:, er score: 1310.9781188964844
The 86-th AutoFormerSub arch:, er score: 1465.6100616455078
The 87-th AutoFormerSub arch:, er score: 1473.007308959961
The 88-th AutoFormerSub arch:, er score: 1305.9316482543945
The 89-th AutoFormerSub arch:, er score: 1463.365348815918
The 90-th AutoFormerSub arch:, er score: 1320.0785675048828
The 91-th AutoFormerSub arch:, er score: 1312.1824188232422
The 92-th AutoFormerSub arch:, er score: 1471.8187408447266
The 93-th AutoFormerSub arch:, er score: 1271.6940612792969
The 94-th AutoFormerSub arch:, er score: 1314.4745712280273
The 95-th AutoFormerSub arch:, er score: 1315.4995956420898
The 96-th AutoFormerSub arch:, er score: 1317.7311630249023
The 97-th AutoFormerSub arch:, er score: 1220.199447631836
The 98-th AutoFormerSub arch:, er score: 1409.7040939331055
The 99-th AutoFormerSub arch:, er score: 1222.4663391113281
Rank consistency on dataset cifar100: kendall: 0.7884310013151852, spearman: 0.9408587800860545, pearson: 0.9148536461464185
Finished, time cost: 0.12463724878099229 hour.
