save_dir            : ./work_dirs/rank/AutoFormerSub_kd
gt_path             : ./gt_results/gt_autoformer.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_c100_kd.yaml
other_zc            : er
ds                  : cifar100
acc_type            : kd
Build er ....
The 0-th AutoFormerSub arch:, er score: 1222.5826263427734
The 1-th AutoFormerSub arch:, er score: 1519.9660568237305
The 2-th AutoFormerSub arch:, er score: 1413.2797393798828
The 3-th AutoFormerSub arch:, er score: 1467.2182312011719
The 4-th AutoFormerSub arch:, er score: 1309.5518188476562
The 5-th AutoFormerSub arch:, er score: 1415.266746520996
The 6-th AutoFormerSub arch:, er score: 1409.2354736328125
The 7-th AutoFormerSub arch:, er score: 1375.3176498413086
The 8-th AutoFormerSub arch:, er score: 1225.783935546875
The 9-th AutoFormerSub arch:, er score: 1518.1971588134766
The 10-th AutoFormerSub arch:, er score: 1417.0834350585938
The 11-th AutoFormerSub arch:, er score: 1219.1299133300781
The 12-th AutoFormerSub arch:, er score: 1224.3622360229492
The 13-th AutoFormerSub arch:, er score: 1319.742790222168
The 14-th AutoFormerSub arch:, er score: 1420.5523986816406
The 15-th AutoFormerSub arch:, er score: 1518.3706970214844
The 16-th AutoFormerSub arch:, er score: 1273.0008163452148
The 17-th AutoFormerSub arch:, er score: 1527.278076171875
The 18-th AutoFormerSub arch:, er score: 1312.3891677856445
The 19-th AutoFormerSub arch:, er score: 1473.8458557128906
The 20-th AutoFormerSub arch:, er score: 1373.4250411987305
The 21-th AutoFormerSub arch:, er score: 1415.2449493408203
The 22-th AutoFormerSub arch:, er score: 1268.859634399414
The 23-th AutoFormerSub arch:, er score: 1473.9264602661133
The 24-th AutoFormerSub arch:, er score: 1319.3354110717773
The 25-th AutoFormerSub arch:, er score: 1418.098045349121
The 26-th AutoFormerSub arch:, er score: 1410.8676223754883
The 27-th AutoFormerSub arch:, er score: 1318.873924255371
The 28-th AutoFormerSub arch:, er score: 1320.3396759033203
The 29-th AutoFormerSub arch:, er score: 1316.384162902832
The 30-th AutoFormerSub arch:, er score: 1366.6411895751953
The 31-th AutoFormerSub arch:, er score: 1469.2711639404297
The 32-th AutoFormerSub arch:, er score: 1322.3034896850586
The 33-th AutoFormerSub arch:, er score: 1414.746566772461
The 34-th AutoFormerSub arch:, er score: 1222.5081100463867
The 35-th AutoFormerSub arch:, er score: 1311.6418228149414
The 36-th AutoFormerSub arch:, er score: 1514.539161682129
The 37-th AutoFormerSub arch:, er score: 1415.2747268676758
The 38-th AutoFormerSub arch:, er score: 1416.1006164550781
The 39-th AutoFormerSub arch:, er score: 1318.8795700073242
The 40-th AutoFormerSub arch:, er score: 1271.758659362793
The 41-th AutoFormerSub arch:, er score: 1264.9406204223633
The 42-th AutoFormerSub arch:, er score: 1314.3457641601562
The 43-th AutoFormerSub arch:, er score: 1464.4729537963867
The 44-th AutoFormerSub arch:, er score: 1514.8810348510742
The 45-th AutoFormerSub arch:, er score: 1512.4345397949219
The 46-th AutoFormerSub arch:, er score: 1370.4274520874023
The 47-th AutoFormerSub arch:, er score: 1318.8019638061523
The 48-th AutoFormerSub arch:, er score: 1418.4630813598633
The 49-th AutoFormerSub arch:, er score: 1518.327407836914
The 50-th AutoFormerSub arch:, er score: 1419.6845016479492
The 51-th AutoFormerSub arch:, er score: 1468.0092239379883
