save_dir            : ./work_dirs/rank/AutoFormerSub_kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_flowers_kd.yaml
other_zc            : er
ds                  : flowers
Build er ....
The 0-th AutoFormerSub arch:, er score: 1418.8644714355469
The 1-th AutoFormerSub arch:, er score: 1514.1974334716797
The 2-th AutoFormerSub arch:, er score: 1361.6710052490234
The 3-th AutoFormerSub arch:, er score: 1417.9575805664062
The 4-th AutoFormerSub arch:, er score: 1274.2442626953125
The 5-th AutoFormerSub arch:, er score: 1513.6258392333984
The 6-th AutoFormerSub arch:, er score: 1226.771385192871
The 7-th AutoFormerSub arch:, er score: 1414.9480590820312
The 8-th AutoFormerSub arch:, er score: 1308.9004669189453
The 9-th AutoFormerSub arch:, er score: 1318.6256866455078
The 10-th AutoFormerSub arch:, er score: 1223.5529327392578
The 11-th AutoFormerSub arch:, er score: 1320.9153747558594
The 12-th AutoFormerSub arch:, er score: 1317.7504425048828
The 13-th AutoFormerSub arch:, er score: 1414.0222091674805
The 14-th AutoFormerSub arch:, er score: 1515.5762023925781
The 15-th AutoFormerSub arch:, er score: 1321.037582397461
The 16-th AutoFormerSub arch:, er score: 1415.385612487793
The 17-th AutoFormerSub arch:, er score: 1411.1687088012695
The 18-th AutoFormerSub arch:, er score: 1221.7128067016602
The 19-th AutoFormerSub arch:, er score: 1420.264175415039
The 20-th AutoFormerSub arch:, er score: 1316.6698913574219
The 21-th AutoFormerSub arch:, er score: 1310.115005493164
The 22-th AutoFormerSub arch:, er score: 1222.439468383789
The 23-th AutoFormerSub arch:, er score: 1312.9476776123047
The 24-th AutoFormerSub arch:, er score: 1409.7462615966797
The 25-th AutoFormerSub arch:, er score: 1419.0073852539062
The 26-th AutoFormerSub arch:, er score: 1477.1679153442383
The 27-th AutoFormerSub arch:, er score: 1224.178367614746
The 28-th AutoFormerSub arch:, er score: 1416.8244552612305
The 29-th AutoFormerSub arch:, er score: 1420.9215087890625
The 30-th AutoFormerSub arch:, er score: 1223.7065811157227
The 31-th AutoFormerSub arch:, er score: 1323.4970169067383
The 32-th AutoFormerSub arch:, er score: 1271.0265808105469
The 33-th AutoFormerSub arch:, er score: 1312.8289108276367
The 34-th AutoFormerSub arch:, er score: 1310.524040222168
The 35-th AutoFormerSub arch:, er score: 1410.5756530761719
The 36-th AutoFormerSub arch:, er score: 1317.1027526855469
The 37-th AutoFormerSub arch:, er score: 1272.569709777832
The 38-th AutoFormerSub arch:, er score: 1313.976921081543
The 39-th AutoFormerSub arch:, er score: 1275.7482376098633
The 40-th AutoFormerSub arch:, er score: 1416.7829513549805
The 41-th AutoFormerSub arch:, er score: 1222.2300491333008
The 42-th AutoFormerSub arch:, er score: 1316.0031967163086
The 43-th AutoFormerSub arch:, er score: 1412.0933074951172
The 44-th AutoFormerSub arch:, er score: 1371.9260330200195
The 45-th AutoFormerSub arch:, er score: 1368.622817993164
The 46-th AutoFormerSub arch:, er score: 1313.457618713379
The 47-th AutoFormerSub arch:, er score: 1317.3489379882812
The 48-th AutoFormerSub arch:, er score: 1513.0693588256836
The 49-th AutoFormerSub arch:, er score: 1273.6898193359375
The 50-th AutoFormerSub arch:, er score: 1410.612319946289
The 51-th AutoFormerSub arch:, er score: 1469.7212829589844
The 52-th AutoFormerSub arch:, er score: 1310.4299545288086
The 53-th AutoFormerSub arch:, er score: 1224.7646560668945
