save_dir            : ./work_dirs/rank/PiT/chaoyang/base
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_chaoyang_base.yaml
other_zc            : er
ds                  : chaoyang
acc_type            : base
Build er ....
The 0-th PiT arch:, er score: 118.2103306055069
The 1-th PiT arch:, er score: 57.676230907440186
The 2-th PiT arch:, er score: 144.95370841026306
The 3-th PiT arch:, er score: 98.54751884937286
The 4-th PiT arch:, er score: 93.17147123813629
The 5-th PiT arch:, er score: 152.80313682556152
The 6-th PiT arch:, er score: 197.9207547903061
The 7-th PiT arch:, er score: 132.97307777404785
The 8-th PiT arch:, er score: 361.70087444782257
The 9-th PiT arch:, er score: 93.16084635257721
The 10-th PiT arch:, er score: 90.3869845867157
The 11-th PiT arch:, er score: 140.1180638074875
The 12-th PiT arch:, er score: 130.9442582130432
The 13-th PiT arch:, er score: 150.91021311283112
The 14-th PiT arch:, er score: 94.26963317394257
The 15-th PiT arch:, er score: 111.02309060096741
The 16-th PiT arch:, er score: 119.59764409065247
The 17-th PiT arch:, er score: 81.21142482757568
The 18-th PiT arch:, er score: 131.21865487098694
The 19-th PiT arch:, er score: 142.43576836585999
The 20-th PiT arch:, er score: 164.42140781879425
The 21-th PiT arch:, er score: 218.56957352161407
The 22-th PiT arch:, er score: 167.97972059249878
The 23-th PiT arch:, er score: 263.55171859264374
The 24-th PiT arch:, er score: 231.60677301883698
The 25-th PiT arch:, er score: 57.54258346557617
The 26-th PiT arch:, er score: 149.70570850372314
The 27-th PiT arch:, er score: 155.34158599376678
The 28-th PiT arch:, er score: 135.12274813652039
The 29-th PiT arch:, er score: 95.42159831523895
The 30-th PiT arch:, er score: 137.29937601089478
The 31-th PiT arch:, er score: 118.82925295829773
The 32-th PiT arch:, er score: 185.13377916812897
The 33-th PiT arch:, er score: 120.04280889034271
The 34-th PiT arch:, er score: 244.0330024957657
The 35-th PiT arch:, er score: 185.19630455970764
The 36-th PiT arch:, er score: 112.44130218029022
The 37-th PiT arch:, er score: 80.51467859745026
The 38-th PiT arch:, er score: 135.4486631155014
The 39-th PiT arch:, er score: 114.05286037921906
The 40-th PiT arch:, er score: 89.58042788505554
The 41-th PiT arch:, er score: 210.9731969833374
The 42-th PiT arch:, er score: 260.7179329395294
The 43-th PiT arch:, er score: 207.27495288848877
The 44-th PiT arch:, er score: 174.5216724872589
The 45-th PiT arch:, er score: 147.39210093021393
The 46-th PiT arch:, er score: 215.37653625011444
The 47-th PiT arch:, er score: 120.60365700721741
The 48-th PiT arch:, er score: 138.2960488796234
The 49-th PiT arch:, er score: 125.3600344657898
The 50-th PiT arch:, er score: 77.84801006317139
The 51-th PiT arch:, er score: 88.03820240497589
The 52-th PiT arch:, er score: 138.25055277347565
The 53-th PiT arch:, er score: 175.9416764974594
The 54-th PiT arch:, er score: 147.1421298980713
The 55-th PiT arch:, er score: 157.9372137784958
The 56-th PiT arch:, er score: 133.55826091766357
The 57-th PiT arch:, er score: 122.07376670837402
The 58-th PiT arch:, er score: 155.2324446439743
The 59-th PiT arch:, er score: 112.24937582015991
The 60-th PiT arch:, er score: 94.12549829483032
The 61-th PiT arch:, er score: 167.71322584152222
The 62-th PiT arch:, er score: 296.2821184396744
The 63-th PiT arch:, er score: 155.7614631652832
The 64-th PiT arch:, er score: 105.1801575422287
The 65-th PiT arch:, er score: 306.7412647008896
The 66-th PiT arch:, er score: 111.58223402500153
The 67-th PiT arch:, er score: 145.4734857082367
The 68-th PiT arch:, er score: 91.95776045322418
The 69-th PiT arch:, er score: 256.84204745292664
The 70-th PiT arch:, er score: 77.67028796672821
The 71-th PiT arch:, er score: 181.0629870891571
The 72-th PiT arch:, er score: 151.67936992645264
The 73-th PiT arch:, er score: 212.46496093273163
The 74-th PiT arch:, er score: 90.54167461395264
The 75-th PiT arch:, er score: 149.86329054832458
The 76-th PiT arch:, er score: 289.7742797136307
The 77-th PiT arch:, er score: 90.739919424057
The 78-th PiT arch:, er score: 212.49798667430878
The 79-th PiT arch:, er score: 195.3093180656433
The 80-th PiT arch:, er score: 159.24280273914337
The 81-th PiT arch:, er score: 198.23675727844238
The 82-th PiT arch:, er score: 94.95411455631256
The 83-th PiT arch:, er score: 159.1428965330124
The 84-th PiT arch:, er score: 123.04595720767975
The 85-th PiT arch:, er score: 174.36446046829224
The 86-th PiT arch:, er score: 100.48893523216248
The 87-th PiT arch:, er score: 126.86057233810425
The 88-th PiT arch:, er score: 105.72526800632477
The 89-th PiT arch:, er score: 130.1078872680664
The 90-th PiT arch:, er score: 123.629323720932
The 91-th PiT arch:, er score: 132.03245675563812
The 92-th PiT arch:, er score: 90.73246896266937
The 93-th PiT arch:, er score: 223.78752732276917
The 94-th PiT arch:, er score: 139.22715651988983
The 95-th PiT arch:, er score: 299.8245767354965
The 96-th PiT arch:, er score: 132.55894196033478
The 97-th PiT arch:, er score: 245.2716522216797
The 98-th PiT arch:, er score: 170.27521395683289
The 99-th PiT arch:, er score: 146.1275485754013
Rank consistency on dataset chaoyang: kendall: 0.4443172030785206, spearman: 0.6302717669762649, pearson: 0.569456759602796
Finished, time cost: 0.09871256894535489 hour.
