save_dir            : ./work_dirs/rank/PiT/chaoyang/kd
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_chaoyang_kd.yaml
other_zc            : er
ds                  : chaoyang
acc_type            : kd
Build er ....
The 0-th PiT arch:, er score: 103.39936208724976
The 1-th PiT arch:, er score: 57.12062156200409
The 2-th PiT arch:, er score: 146.78403615951538
The 3-th PiT arch:, er score: 98.40348970890045
The 4-th PiT arch:, er score: 98.49729537963867
The 5-th PiT arch:, er score: 162.32470726966858
The 6-th PiT arch:, er score: 181.53394091129303
The 7-th PiT arch:, er score: 133.1981621980667
The 8-th PiT arch:, er score: 361.1802362203598
The 9-th PiT arch:, er score: 93.56732738018036
The 10-th PiT arch:, er score: 98.48001205921173
The 11-th PiT arch:, er score: 125.08590269088745
The 12-th PiT arch:, er score: 137.42357730865479
The 13-th PiT arch:, er score: 160.36057925224304
The 14-th PiT arch:, er score: 84.45381832122803
The 15-th PiT arch:, er score: 129.88627588748932
The 16-th PiT arch:, er score: 111.52614545822144
The 17-th PiT arch:, er score: 83.27374851703644
The 18-th PiT arch:, er score: 127.84465944766998
The 19-th PiT arch:, er score: 139.85178983211517
The 20-th PiT arch:, er score: 163.2052617073059
The 21-th PiT arch:, er score: 217.51543056964874
The 22-th PiT arch:, er score: 164.90167260169983
The 23-th PiT arch:, er score: 262.6540323495865
The 24-th PiT arch:, er score: 237.6679859161377
The 25-th PiT arch:, er score: 56.07531011104584
The 26-th PiT arch:, er score: 134.31751787662506
The 27-th PiT arch:, er score: 143.58917558193207
The 28-th PiT arch:, er score: 135.06562399864197
The 29-th PiT arch:, er score: 95.52036821842194
The 30-th PiT arch:, er score: 128.3543552160263
The 31-th PiT arch:, er score: 103.91836130619049
The 32-th PiT arch:, er score: 184.92354118824005
The 33-th PiT arch:, er score: 122.18555808067322
The 34-th PiT arch:, er score: 245.80063211917877
The 35-th PiT arch:, er score: 186.05333280563354
The 36-th PiT arch:, er score: 126.95029091835022
The 37-th PiT arch:, er score: 105.27532684803009
The 38-th PiT arch:, er score: 138.13380372524261
The 39-th PiT arch:, er score: 134.62462961673737
The 40-th PiT arch:, er score: 89.8534631729126
The 41-th PiT arch:, er score: 213.55153596401215
The 42-th PiT arch:, er score: 261.8358254432678
The 43-th PiT arch:, er score: 213.4462652206421
The 44-th PiT arch:, er score: 162.87167191505432
The 45-th PiT arch:, er score: 150.85203421115875
The 46-th PiT arch:, er score: 215.57731533050537
The 47-th PiT arch:, er score: 125.12160217761993
The 48-th PiT arch:, er score: 153.5669835805893
The 49-th PiT arch:, er score: 124.55165266990662
The 50-th PiT arch:, er score: 75.66831052303314
The 51-th PiT arch:, er score: 88.21323347091675
The 52-th PiT arch:, er score: 132.98822689056396
The 53-th PiT arch:, er score: 177.10681295394897
The 54-th PiT arch:, er score: 148.66014790534973
The 55-th PiT arch:, er score: 157.3275167942047
The 56-th PiT arch:, er score: 129.37873196601868
The 57-th PiT arch:, er score: 127.06449115276337
The 58-th PiT arch:, er score: 152.90221107006073
The 59-th PiT arch:, er score: 110.18854308128357
The 60-th PiT arch:, er score: 91.72045886516571
The 61-th PiT arch:, er score: 158.97453105449677
The 62-th PiT arch:, er score: 290.05492293834686
The 63-th PiT arch:, er score: 141.0915573835373
The 64-th PiT arch:, er score: 115.82519340515137
The 65-th PiT arch:, er score: 302.9146617650986
The 66-th PiT arch:, er score: 110.48330271244049
The 67-th PiT arch:, er score: 154.17642056941986
The 68-th PiT arch:, er score: 89.78968858718872
The 69-th PiT arch:, er score: 256.51167249679565
The 70-th PiT arch:, er score: 78.47026991844177
The 71-th PiT arch:, er score: 186.2178100347519
The 72-th PiT arch:, er score: 146.59736514091492
The 73-th PiT arch:, er score: 213.57454788684845
The 74-th PiT arch:, er score: 92.57463300228119
The 75-th PiT arch:, er score: 154.2753814458847
The 76-th PiT arch:, er score: 289.6996076107025
The 77-th PiT arch:, er score: 94.34113192558289
The 78-th PiT arch:, er score: 216.4506036043167
The 79-th PiT arch:, er score: 191.66342425346375
The 80-th PiT arch:, er score: 163.80326855182648
The 81-th PiT arch:, er score: 201.11135983467102
The 82-th PiT arch:, er score: 88.016348361969
The 83-th PiT arch:, er score: 160.51432406902313
The 84-th PiT arch:, er score: 114.7685112953186
The 85-th PiT arch:, er score: 178.4409281015396
The 86-th PiT arch:, er score: 105.1936867237091
The 87-th PiT arch:, er score: 123.29772996902466
The 88-th PiT arch:, er score: 82.49871408939362
The 89-th PiT arch:, er score: 129.26383900642395
The 90-th PiT arch:, er score: 125.91682052612305
The 91-th PiT arch:, er score: 125.49929594993591
The 92-th PiT arch:, er score: 88.74501836299896
The 93-th PiT arch:, er score: 235.6743801832199
The 94-th PiT arch:, er score: 145.92261826992035
The 95-th PiT arch:, er score: 298.7859573364258
The 96-th PiT arch:, er score: 127.58229684829712
The 97-th PiT arch:, er score: 245.36048877239227
The 98-th PiT arch:, er score: 174.0475286245346
The 99-th PiT arch:, er score: 142.58928680419922
Rank consistency on dataset chaoyang: kendall: 0.23885164082840651, spearman: 0.35057348565093277, pearson: 0.28629094057394366
Finished, time cost: 0.10198551760779487 hour.
