save_dir            : ./work_dirs/rank/PiT/cifar100/base
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_c100_base.yaml
other_zc            : er
ds                  : cifar100
acc_type            : base
Build er ....
The 0-th PiT arch:, er score: 285.49202156066895
The 1-th PiT arch:, er score: 330.81035673618317
The 2-th PiT arch:, er score: 336.5729224681854
The 3-th PiT arch:, er score: 207.86060047149658
The 4-th PiT arch:, er score: 279.06703186035156
The 5-th PiT arch:, er score: 336.3494005203247
The 6-th PiT arch:, er score: 487.0401142835617
The 7-th PiT arch:, er score: 354.0462244749069
The 8-th PiT arch:, er score: 767.3243578672409
The 9-th PiT arch:, er score: 282.20587968826294
The 10-th PiT arch:, er score: 483.07431197166443
The 11-th PiT arch:, er score: 338.8657445907593
The 12-th PiT arch:, er score: 295.0315432548523
The 13-th PiT arch:, er score: 338.097575545311
The 14-th PiT arch:, er score: 340.76390957832336
The 15-th PiT arch:, er score: 245.54755818843842
The 16-th PiT arch:, er score: 395.54091572761536
The 17-th PiT arch:, er score: 271.76954984664917
The 18-th PiT arch:, er score: 426.72964668273926
The 19-th PiT arch:, er score: 390.5351598262787
The 20-th PiT arch:, er score: 512.1694965362549
The 21-th PiT arch:, er score: 620.040195941925
The 22-th PiT arch:, er score: 546.612446308136
The 23-th PiT arch:, er score: 592.7311462163925
The 24-th PiT arch:, er score: 535.8644802570343
The 25-th PiT arch:, er score: 401.7999589443207
The 26-th PiT arch:, er score: 362.7972764968872
The 27-th PiT arch:, er score: 441.5977293252945
The 28-th PiT arch:, er score: 420.16596031188965
The 29-th PiT arch:, er score: 200.25210237503052
The 30-th PiT arch:, er score: 286.2954878807068
The 31-th PiT arch:, er score: 220.068856716156
The 32-th PiT arch:, er score: 479.7854332923889
The 33-th PiT arch:, er score: 461.5482505559921
The 34-th PiT arch:, er score: 608.6294149160385
The 35-th PiT arch:, er score: 432.4159343242645
The 36-th PiT arch:, er score: 231.84696555137634
The 37-th PiT arch:, er score: 257.5641782283783
The 38-th PiT arch:, er score: 414.5592794418335
The 39-th PiT arch:, er score: 283.48223853111267
The 40-th PiT arch:, er score: 206.88290524482727
The 41-th PiT arch:, er score: 532.8592295646667
The 42-th PiT arch:, er score: 603.5053017139435
The 43-th PiT arch:, er score: 621.3917310237885
The 44-th PiT arch:, er score: 470.85435581207275
The 45-th PiT arch:, er score: 385.12627267837524
The 46-th PiT arch:, er score: 673.9546599388123
The 47-th PiT arch:, er score: 277.5682203769684
The 48-th PiT arch:, er score: 330.16541624069214
The 49-th PiT arch:, er score: 484.09472250938416
The 50-th PiT arch:, er score: 347.43176221847534
The 51-th PiT arch:, er score: 339.5746657848358
The 52-th PiT arch:, er score: 354.1001818180084
The 53-th PiT arch:, er score: 575.9226698875427
The 54-th PiT arch:, er score: 532.3625409603119
The 55-th PiT arch:, er score: 591.5267338752747
The 56-th PiT arch:, er score: 250.42297554016113
The 57-th PiT arch:, er score: 379.25643813610077
The 58-th PiT arch:, er score: 639.9153318405151
The 59-th PiT arch:, er score: 195.50535321235657
The 60-th PiT arch:, er score: 273.7179036140442
The 61-th PiT arch:, er score: 390.2279317378998
The 62-th PiT arch:, er score: 654.4869904518127
The 63-th PiT arch:, er score: 379.2105379104614
The 64-th PiT arch:, er score: 271.1843625307083
The 65-th PiT arch:, er score: 683.2738258838654
The 66-th PiT arch:, er score: 433.70015692710876
The 67-th PiT arch:, er score: 542.192732334137
The 68-th PiT arch:, er score: 258.07025480270386
The 69-th PiT arch:, er score: 676.4118230342865
The 70-th PiT arch:, er score: 429.58363461494446
The 71-th PiT arch:, er score: 433.6059272289276
The 72-th PiT arch:, er score: 487.6734765768051
The 73-th PiT arch:, er score: 782.8073630332947
The 74-th PiT arch:, er score: 334.1830976009369
The 75-th PiT arch:, er score: 337.4728469848633
The 76-th PiT arch:, er score: 659.7252893447876
The 77-th PiT arch:, er score: 159.56422555446625
The 78-th PiT arch:, er score: 680.2419171333313
The 79-th PiT arch:, er score: 392.6671493053436
The 80-th PiT arch:, er score: 392.0278260707855
The 81-th PiT arch:, er score: 670.2763837575912
The 82-th PiT arch:, er score: 293.6776223182678
The 83-th PiT arch:, er score: 461.3317446708679
The 84-th PiT arch:, er score: 482.21096181869507
The 85-th PiT arch:, er score: 529.6516152620316
The 86-th PiT arch:, er score: 261.8306188583374
The 87-th PiT arch:, er score: 402.5971745252609
The 88-th PiT arch:, er score: 241.73265933990479
The 89-th PiT arch:, er score: 261.5523464679718
The 90-th PiT arch:, er score: 251.6159086227417
The 91-th PiT arch:, er score: 275.6416063308716
The 92-th PiT arch:, er score: 414.41874527931213
The 93-th PiT arch:, er score: 528.4090138673782
The 94-th PiT arch:, er score: 423.8537211418152
The 95-th PiT arch:, er score: 871.8250868320465
The 96-th PiT arch:, er score: 429.71418380737305
The 97-th PiT arch:, er score: 715.5939900875092
The 98-th PiT arch:, er score: 415.7131230831146
The 99-th PiT arch:, er score: 395.25574684143066
Rank consistency on dataset cifar100: kendall: 0.5580596973195476, spearman: 0.7678963081618368, pearson: 0.5798061355551152
Finished, time cost: 0.1273580671681298 hour.
