save_dir            : ./work_dirs/rank/PiT/cifar100/kd
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_c100_kd.yaml
other_zc            : er
ds                  : cifar100
acc_type            : kd
Build er ....
The 0-th PiT arch:, er score: 292.74292373657227
The 1-th PiT arch:, er score: 341.58869528770447
The 2-th PiT arch:, er score: 325.11442828178406
The 3-th PiT arch:, er score: 201.89393639564514
The 4-th PiT arch:, er score: 280.6081953048706
The 5-th PiT arch:, er score: 353.81208181381226
The 6-th PiT arch:, er score: 484.87844944000244
The 7-th PiT arch:, er score: 353.8534574508667
The 8-th PiT arch:, er score: 785.7144567966461
The 9-th PiT arch:, er score: 280.52493500709534
The 10-th PiT arch:, er score: 480.89837169647217
The 11-th PiT arch:, er score: 344.57928943634033
The 12-th PiT arch:, er score: 281.67517852783203
The 13-th PiT arch:, er score: 331.160849571228
The 14-th PiT arch:, er score: 343.6957149505615
The 15-th PiT arch:, er score: 246.74363589286804
The 16-th PiT arch:, er score: 391.7297930717468
The 17-th PiT arch:, er score: 264.578120470047
The 18-th PiT arch:, er score: 427.9719977378845
The 19-th PiT arch:, er score: 384.074156999588
The 20-th PiT arch:, er score: 519.728942155838
The 21-th PiT arch:, er score: 614.9769778251648
The 22-th PiT arch:, er score: 541.2731502056122
The 23-th PiT arch:, er score: 548.7382093667984
The 24-th PiT arch:, er score: 531.6560069322586
The 25-th PiT arch:, er score: 410.3838131427765
The 26-th PiT arch:, er score: 363.73291635513306
The 27-th PiT arch:, er score: 443.19332361221313
The 28-th PiT arch:, er score: 407.28733468055725
The 29-th PiT arch:, er score: 180.39317560195923
The 30-th PiT arch:, er score: 277.0026807785034
The 31-th PiT arch:, er score: 201.21222460269928
The 32-th PiT arch:, er score: 502.39523684978485
The 33-th PiT arch:, er score: 466.9685437679291
The 34-th PiT arch:, er score: 605.9132229089737
The 35-th PiT arch:, er score: 440.8372972011566
The 36-th PiT arch:, er score: 225.84575259685516
The 37-th PiT arch:, er score: 254.11376857757568
The 38-th PiT arch:, er score: 427.4996361732483
The 39-th PiT arch:, er score: 268.85318553447723
The 40-th PiT arch:, er score: 192.9450147151947
The 41-th PiT arch:, er score: 549.6763582229614
The 42-th PiT arch:, er score: 588.569275021553
The 43-th PiT arch:, er score: 608.6435955762863
The 44-th PiT arch:, er score: 474.60321855545044
The 45-th PiT arch:, er score: 396.6886074542999
The 46-th PiT arch:, er score: 719.7768878936768
The 47-th PiT arch:, er score: 279.8134734630585
The 48-th PiT arch:, er score: 331.2538661956787
The 49-th PiT arch:, er score: 481.9817568063736
The 50-th PiT arch:, er score: 343.9383137226105
The 51-th PiT arch:, er score: 331.4367883205414
The 52-th PiT arch:, er score: 353.4599413871765
The 53-th PiT arch:, er score: 584.6562478542328
The 54-th PiT arch:, er score: 504.7265901565552
The 55-th PiT arch:, er score: 593.7413138151169
The 56-th PiT arch:, er score: 253.84131860733032
The 57-th PiT arch:, er score: 379.721554517746
The 58-th PiT arch:, er score: 637.214453458786
The 59-th PiT arch:, er score: 195.33949875831604
The 60-th PiT arch:, er score: 266.3916504383087
The 61-th PiT arch:, er score: 382.79634034633636
The 62-th PiT arch:, er score: 643.0131151676178
The 63-th PiT arch:, er score: 378.5358010530472
The 64-th PiT arch:, er score: 267.3590089082718
The 65-th PiT arch:, er score: 655.3684420585632
The 66-th PiT arch:, er score: 452.01657366752625
The 67-th PiT arch:, er score: 536.4165706634521
The 68-th PiT arch:, er score: 259.6537272930145
The 69-th PiT arch:, er score: 741.8987025022507
The 70-th PiT arch:, er score: 426.6316428184509
The 71-th PiT arch:, er score: 440.73818922042847
The 72-th PiT arch:, er score: 479.0396144390106
The 73-th PiT arch:, er score: 781.3156170845032
The 74-th PiT arch:, er score: 344.66697573661804
The 75-th PiT arch:, er score: 336.873904466629
The 76-th PiT arch:, er score: 700.5364587306976
The 77-th PiT arch:, er score: 156.4456787109375
The 78-th PiT arch:, er score: 683.04137134552
The 79-th PiT arch:, er score: 390.71733379364014
The 80-th PiT arch:, er score: 387.12052488327026
The 81-th PiT arch:, er score: 672.5979790687561
The 82-th PiT arch:, er score: 299.22938871383667
The 83-th PiT arch:, er score: 471.17929220199585
The 84-th PiT arch:, er score: 470.03130173683167
The 85-th PiT arch:, er score: 517.6830298900604
The 86-th PiT arch:, er score: 257.44780588150024
The 87-th PiT arch:, er score: 397.5569369792938
The 88-th PiT arch:, er score: 244.70615911483765
The 89-th PiT arch:, er score: 245.35436952114105
The 90-th PiT arch:, er score: 256.42991828918457
The 91-th PiT arch:, er score: 270.2328071594238
The 92-th PiT arch:, er score: 402.96001613140106
The 93-th PiT arch:, er score: 525.0972549915314
The 94-th PiT arch:, er score: 415.2480149269104
The 95-th PiT arch:, er score: 860.0421712398529
The 96-th PiT arch:, er score: 428.04458570480347
The 97-th PiT arch:, er score: 722.407187461853
The 98-th PiT arch:, er score: 414.8287445306778
The 99-th PiT arch:, er score: 406.47093760967255
Rank consistency on dataset cifar100: kendall: 0.5110168718096944, spearman: 0.7086356191178683, pearson: 0.48505097036067185
Finished, time cost: 0.11951028174824185 hour.
