save_dir            : ./work_dirs/rank/PiT/flowers/base
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_flowers_base.yaml
other_zc            : er
ds                  : flowers
acc_type            : base
Build er ....
The 0-th PiT arch:, er score: 286.0060384273529
The 1-th PiT arch:, er score: 342.161084651947
The 2-th PiT arch:, er score: 321.8026280403137
The 3-th PiT arch:, er score: 206.13746666908264
The 4-th PiT arch:, er score: 278.4047751426697
The 5-th PiT arch:, er score: 342.95452976226807
The 6-th PiT arch:, er score: 476.6548354625702
The 7-th PiT arch:, er score: 358.59730529785156
The 8-th PiT arch:, er score: 795.2882069349289
The 9-th PiT arch:, er score: 282.2108578681946
The 10-th PiT arch:, er score: 481.40816593170166
The 11-th PiT arch:, er score: 345.61817932128906
The 12-th PiT arch:, er score: 286.1283278465271
The 13-th PiT arch:, er score: 335.49957728385925
The 14-th PiT arch:, er score: 353.06398701667786
The 15-th PiT arch:, er score: 242.77866792678833
The 16-th PiT arch:, er score: 385.08933556079865
The 17-th PiT arch:, er score: 269.5503270626068
The 18-th PiT arch:, er score: 431.2076258659363
The 19-th PiT arch:, er score: 400.7062885761261
The 20-th PiT arch:, er score: 516.0536205768585
The 21-th PiT arch:, er score: 611.5460987091064
The 22-th PiT arch:, er score: 537.7091578245163
The 23-th PiT arch:, er score: 561.250713467598
The 24-th PiT arch:, er score: 533.6549385786057
The 25-th PiT arch:, er score: 396.72683811187744
The 26-th PiT arch:, er score: 356.9992035627365
The 27-th PiT arch:, er score: 450.7371015548706
The 28-th PiT arch:, er score: 414.66404962539673
The 29-th PiT arch:, er score: 185.01812171936035
The 30-th PiT arch:, er score: 275.0835180282593
The 31-th PiT arch:, er score: 202.45654034614563
The 32-th PiT arch:, er score: 500.7556871175766
The 33-th PiT arch:, er score: 463.2809724807739
The 34-th PiT arch:, er score: 607.6594678163528
The 35-th PiT arch:, er score: 436.930716753006
The 36-th PiT arch:, er score: 232.41657948493958
The 37-th PiT arch:, er score: 259.7847590446472
The 38-th PiT arch:, er score: 413.48126125335693
The 39-th PiT arch:, er score: 272.5861405134201
The 40-th PiT arch:, er score: 199.44711339473724
The 41-th PiT arch:, er score: 531.8026552200317
The 42-th PiT arch:, er score: 626.6379749774933
The 43-th PiT arch:, er score: 611.9504241943359
The 44-th PiT arch:, er score: 470.1684937477112
The 45-th PiT arch:, er score: 389.3083554506302
The 46-th PiT arch:, er score: 679.4751465320587
The 47-th PiT arch:, er score: 276.29304111003876
The 48-th PiT arch:, er score: 336.71102356910706
The 49-th PiT arch:, er score: 487.4574091434479
The 50-th PiT arch:, er score: 337.68330669403076
The 51-th PiT arch:, er score: 294.3507330417633
The 52-th PiT arch:, er score: 351.42326831817627
The 53-th PiT arch:, er score: 568.3156238794327
The 54-th PiT arch:, er score: 573.0596575737
The 55-th PiT arch:, er score: 641.9697992801666
The 56-th PiT arch:, er score: 259.32595443725586
The 57-th PiT arch:, er score: 377.10782527923584
The 58-th PiT arch:, er score: 640.8777389526367
The 59-th PiT arch:, er score: 200.69616174697876
The 60-th PiT arch:, er score: 272.1144926548004
The 61-th PiT arch:, er score: 382.97045958042145
The 62-th PiT arch:, er score: 727.9329552650452
The 63-th PiT arch:, er score: 384.72928047180176
The 64-th PiT arch:, er score: 275.666517496109
The 65-th PiT arch:, er score: 681.2301720380783
The 66-th PiT arch:, er score: 453.42143177986145
The 67-th PiT arch:, er score: 538.0862243175507
The 68-th PiT arch:, er score: 253.34957075119019
The 69-th PiT arch:, er score: 715.042516708374
The 70-th PiT arch:, er score: 430.6871848106384
The 71-th PiT arch:, er score: 432.68153071403503
The 72-th PiT arch:, er score: 491.3870772123337
The 73-th PiT arch:, er score: 782.2071974277496
The 74-th PiT arch:, er score: 333.6128695011139
The 75-th PiT arch:, er score: 338.36358642578125
The 76-th PiT arch:, er score: 651.7479158639908
The 77-th PiT arch:, er score: 162.83384585380554
The 78-th PiT arch:, er score: 694.9630784988403
The 79-th PiT arch:, er score: 389.1800161600113
The 80-th PiT arch:, er score: 386.11998784542084
The 81-th PiT arch:, er score: 675.4260516166687
The 82-th PiT arch:, er score: 293.8039071559906
The 83-th PiT arch:, er score: 460.9800100326538
The 84-th PiT arch:, er score: 468.3517585992813
The 85-th PiT arch:, er score: 541.0387535095215
The 86-th PiT arch:, er score: 259.19504594802856
The 87-th PiT arch:, er score: 401.82793855667114
The 88-th PiT arch:, er score: 239.0299687385559
The 89-th PiT arch:, er score: 248.3126264810562
The 90-th PiT arch:, er score: 257.40065813064575
The 91-th PiT arch:, er score: 267.7951240539551
The 92-th PiT arch:, er score: 411.4983355998993
The 93-th PiT arch:, er score: 530.2405651807785
The 94-th PiT arch:, er score: 411.33645606040955
The 95-th PiT arch:, er score: 878.5030190944672
The 96-th PiT arch:, er score: 421.29747462272644
The 97-th PiT arch:, er score: 727.0702314376831
The 98-th PiT arch:, er score: 406.7684234380722
The 99-th PiT arch:, er score: 396.6630400419235
Rank consistency on dataset flowers: kendall: 0.5995756565238968, spearman: 0.7978469653515395, pearson: 0.6660272274730008
Finished, time cost: 0.156808376510938 hour.
