save_dir            : ./work_dirs/rank/PiT/flowers/kd
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_flowers_kd.yaml
other_zc            : er
ds                  : flowers
acc_type            : kd
Build er ....
The 0-th PiT arch:, er score: 118.04902803897858
The 1-th PiT arch:, er score: 56.10089457035065
The 2-th PiT arch:, er score: 150.85165858268738
The 3-th PiT arch:, er score: 92.21846950054169
The 4-th PiT arch:, er score: 88.53472876548767
The 5-th PiT arch:, er score: 141.99277532100677
The 6-th PiT arch:, er score: 166.1726814508438
The 7-th PiT arch:, er score: 128.9801777601242
The 8-th PiT arch:, er score: 361.8442265987396
The 9-th PiT arch:, er score: 104.18074429035187
The 10-th PiT arch:, er score: 93.61082053184509
The 11-th PiT arch:, er score: 122.42895269393921
The 12-th PiT arch:, er score: 130.77447700500488
The 13-th PiT arch:, er score: 136.53371584415436
The 14-th PiT arch:, er score: 96.6137146949768
The 15-th PiT arch:, er score: 107.95195603370667
The 16-th PiT arch:, er score: 103.4566160440445
The 17-th PiT arch:, er score: 81.05430746078491
The 18-th PiT arch:, er score: 125.44736742973328
The 19-th PiT arch:, er score: 140.133908867836
The 20-th PiT arch:, er score: 162.0299689769745
The 21-th PiT arch:, er score: 219.02213966846466
The 22-th PiT arch:, er score: 162.9982168674469
The 23-th PiT arch:, er score: 264.06983184814453
The 24-th PiT arch:, er score: 241.6023782491684
The 25-th PiT arch:, er score: 57.62267816066742
The 26-th PiT arch:, er score: 142.53193068504333
The 27-th PiT arch:, er score: 152.34809052944183
The 28-th PiT arch:, er score: 136.26983380317688
The 29-th PiT arch:, er score: 92.37417125701904
The 30-th PiT arch:, er score: 125.01114749908447
The 31-th PiT arch:, er score: 100.57804560661316
The 32-th PiT arch:, er score: 184.78119456768036
The 33-th PiT arch:, er score: 120.99590826034546
The 34-th PiT arch:, er score: 243.60276246070862
The 35-th PiT arch:, er score: 178.0297487974167
The 36-th PiT arch:, er score: 125.0547125339508
The 37-th PiT arch:, er score: 101.96865212917328
The 38-th PiT arch:, er score: 137.45807659626007
The 39-th PiT arch:, er score: 121.62903952598572
The 40-th PiT arch:, er score: 86.49275374412537
The 41-th PiT arch:, er score: 209.46028864383698
The 42-th PiT arch:, er score: 259.54341197013855
The 43-th PiT arch:, er score: 212.91240346431732
The 44-th PiT arch:, er score: 164.40308904647827
The 45-th PiT arch:, er score: 151.07616901397705
The 46-th PiT arch:, er score: 213.99657082557678
The 47-th PiT arch:, er score: 125.92814981937408
The 48-th PiT arch:, er score: 139.13832700252533
The 49-th PiT arch:, er score: 126.07678616046906
The 50-th PiT arch:, er score: 72.29339754581451
The 51-th PiT arch:, er score: 88.50510609149933
The 52-th PiT arch:, er score: 132.66717839241028
The 53-th PiT arch:, er score: 177.79829621315002
The 54-th PiT arch:, er score: 148.73860716819763
The 55-th PiT arch:, er score: 164.14713633060455
The 56-th PiT arch:, er score: 120.76436996459961
The 57-th PiT arch:, er score: 130.9330483675003
The 58-th PiT arch:, er score: 152.61588513851166
The 59-th PiT arch:, er score: 121.74769270420074
The 60-th PiT arch:, er score: 94.87159657478333
The 61-th PiT arch:, er score: 174.02772986888885
The 62-th PiT arch:, er score: 291.0710542201996
The 63-th PiT arch:, er score: 155.39157330989838
The 64-th PiT arch:, er score: 112.06573963165283
The 65-th PiT arch:, er score: 299.24807465076447
The 66-th PiT arch:, er score: 111.88624680042267
The 67-th PiT arch:, er score: 143.15519547462463
The 68-th PiT arch:, er score: 88.83877551555634
The 69-th PiT arch:, er score: 258.3857800960541
The 70-th PiT arch:, er score: 78.88828265666962
The 71-th PiT arch:, er score: 190.03165411949158
The 72-th PiT arch:, er score: 152.6930341720581
The 73-th PiT arch:, er score: 214.94887733459473
The 74-th PiT arch:, er score: 93.1848669052124
The 75-th PiT arch:, er score: 147.26711452007294
The 76-th PiT arch:, er score: 289.37315106391907
The 77-th PiT arch:, er score: 91.31703245639801
The 78-th PiT arch:, er score: 214.21969068050385
The 79-th PiT arch:, er score: 185.7494796514511
The 80-th PiT arch:, er score: 176.70570635795593
The 81-th PiT arch:, er score: 195.16512513160706
The 82-th PiT arch:, er score: 92.47676742076874
The 83-th PiT arch:, er score: 153.41054272651672
The 84-th PiT arch:, er score: 129.63777911663055
The 85-th PiT arch:, er score: 177.94593179225922
The 86-th PiT arch:, er score: 110.31860733032227
The 87-th PiT arch:, er score: 123.57864964008331
The 88-th PiT arch:, er score: 96.62759268283844
The 89-th PiT arch:, er score: 126.74829244613647
The 90-th PiT arch:, er score: 121.91306352615356
The 91-th PiT arch:, er score: 126.51986980438232
The 92-th PiT arch:, er score: 96.30003821849823
The 93-th PiT arch:, er score: 229.36231136322021
The 94-th PiT arch:, er score: 141.65126168727875
The 95-th PiT arch:, er score: 305.69970881938934
The 96-th PiT arch:, er score: 121.39227616786957
The 97-th PiT arch:, er score: 247.73765766620636
The 98-th PiT arch:, er score: 169.14710652828217
The 99-th PiT arch:, er score: 148.9177622795105
Rank consistency on dataset flowers: kendall: 0.33434410837548834, spearman: 0.46810323625772005, pearson: 0.3724987693426158
Finished, time cost: 0.09686728676160176 hour.
