save_dir            : ./work_dirs/rank/PiT_base
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_c100_base.yaml
other_zc            : er
ds                  : cifar100
acc_type            : base
Build er ....
The 0-th PiT arch:, er score: 335.449662566185
The 1-th PiT arch:, er score: 151.26239264011383
The 2-th PiT arch:, er score: 371.47518253326416
The 3-th PiT arch:, er score: 221.34190011024475
The 4-th PiT arch:, er score: 315.4087028503418
The 5-th PiT arch:, er score: 367.69517993927
The 6-th PiT arch:, er score: 556.5226452350616
The 7-th PiT arch:, er score: 411.9806122779846
The 8-th PiT arch:, er score: 652.7094714641571
The 9-th PiT arch:, er score: 352.57630825042725
The 10-th PiT arch:, er score: 645.7527503967285
The 11-th PiT arch:, er score: 407.5969922542572
The 12-th PiT arch:, er score: 314.4609582424164
The 13-th PiT arch:, er score: 358.2175145149231
The 14-th PiT arch:, er score: 445.86272406578064
The 15-th PiT arch:, er score: 281.1343984603882
The 16-th PiT arch:, er score: 490.1230471134186
The 17-th PiT arch:, er score: 324.81916332244873
The 18-th PiT arch:, er score: 507.12074041366577
The 19-th PiT arch:, er score: 442.9481432437897
The 20-th PiT arch:, er score: 612.0485961437225
The 21-th PiT arch:, er score: 683.2192573547363
The 22-th PiT arch:, er score: 638.9683916568756
The 23-th PiT arch:, er score: 429.49296951293945
The 24-th PiT arch:, er score: 582.0347430706024
The 25-th PiT arch:, er score: 157.45146703720093
The 26-th PiT arch:, er score: 405.5485441684723
The 27-th PiT arch:, er score: 572.3629577159882
The 28-th PiT arch:, er score: 483.1908712387085
The 29-th PiT arch:, er score: 202.18892455101013
The 30-th PiT arch:, er score: 271.7503833770752
The 31-th PiT arch:, er score: 230.24434888362885
The 32-th PiT arch:, er score: 362.0172007083893
The 33-th PiT arch:, er score: 579.2352361679077
The 34-th PiT arch:, er score: 676.387041091919
The 35-th PiT arch:, er score: 475.8536410331726
The 36-th PiT arch:, er score: 228.01179194450378
The 37-th PiT arch:, er score: 325.0356595516205
The 38-th PiT arch:, er score: 488.25604128837585
The 39-th PiT arch:, er score: 313.1496067047119
The 40-th PiT arch:, er score: 241.86401546001434
The 41-th PiT arch:, er score: 581.6773297786713
The 42-th PiT arch:, er score: 480.1442573070526
The 43-th PiT arch:, er score: 704.6829082965851
The 44-th PiT arch:, er score: 535.2434165477753
The 45-th PiT arch:, er score: 438.4876205921173
The 46-th PiT arch:, er score: 404.9253611564636
The 47-th PiT arch:, er score: 312.09664285182953
The 48-th PiT arch:, er score: 351.7905764579773
The 49-th PiT arch:, er score: 594.8197898864746
The 50-th PiT arch:, er score: 440.29518127441406
The 51-th PiT arch:, er score: 220.2068953514099
The 52-th PiT arch:, er score: 405.6898922920227
The 53-th PiT arch:, er score: 747.0750725269318
The 54-th PiT arch:, er score: 325.15211606025696
The 55-th PiT arch:, er score: 304.2916262149811
The 56-th PiT arch:, er score: 244.31012344360352
The 57-th PiT arch:, er score: 461.1931064128876
