save_dir            : ./work_dirs/rank/PiT_kd
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_chaoyang_kd.yaml
other_zc            : er
ds                  : chaoyang
Build er ....
The 0-th PiT arch:, er score: 342.0538947582245
The 1-th PiT arch:, er score: 160.29065227508545
The 2-th PiT arch:, er score: 376.89163303375244
The 3-th PiT arch:, er score: 225.3050148487091
The 4-th PiT arch:, er score: 328.2257034778595
The 5-th PiT arch:, er score: 386.0862874984741
The 6-th PiT arch:, er score: 583.9256205558777
The 7-th PiT arch:, er score: 415.1879060268402
The 8-th PiT arch:, er score: 612.3102447986603
The 9-th PiT arch:, er score: 340.31877994537354
The 10-th PiT arch:, er score: 637.907063961029
The 11-th PiT arch:, er score: 397.88417649269104
The 12-th PiT arch:, er score: 301.397926568985
The 13-th PiT arch:, er score: 359.44303274154663
The 14-th PiT arch:, er score: 435.33417654037476
The 15-th PiT arch:, er score: 278.8034224510193
The 16-th PiT arch:, er score: 495.56863141059875
The 17-th PiT arch:, er score: 318.7554647922516
The 18-th PiT arch:, er score: 501.8643078804016
The 19-th PiT arch:, er score: 443.6542212963104
The 20-th PiT arch:, er score: 619.4347472190857
The 21-th PiT arch:, er score: 675.3078346252441
The 22-th PiT arch:, er score: 646.4065952301025
The 23-th PiT arch:, er score: 448.1744418144226
The 24-th PiT arch:, er score: 583.8919174671173
The 25-th PiT arch:, er score: 172.3494381904602
The 26-th PiT arch:, er score: 402.56299018859863
The 27-th PiT arch:, er score: 555.9341650009155
The 28-th PiT arch:, er score: 491.3389494419098
The 29-th PiT arch:, er score: 198.6847721338272
The 30-th PiT arch:, er score: 273.1960210800171
The 31-th PiT arch:, er score: 222.21654975414276
The 32-th PiT arch:, er score: 353.9025094509125
The 33-th PiT arch:, er score: 596.1525235176086
The 34-th PiT arch:, er score: 673.5454144477844
The 35-th PiT arch:, er score: 472.39310240745544
The 36-th PiT arch:, er score: 225.404980301857
The 37-th PiT arch:, er score: 319.4312810897827
The 38-th PiT arch:, er score: 495.3795356750488
The 39-th PiT arch:, er score: 308.3915319442749
The 40-th PiT arch:, er score: 236.7816298007965
The 41-th PiT arch:, er score: 585.1534339189529
The 42-th PiT arch:, er score: 482.39915657043457
The 43-th PiT arch:, er score: 686.3498647212982
The 44-th PiT arch:, er score: 529.2260403633118
The 45-th PiT arch:, er score: 447.77875113487244
The 46-th PiT arch:, er score: 428.29892015457153
The 47-th PiT arch:, er score: 318.03345227241516
The 48-th PiT arch:, er score: 334.34362411499023
The 49-th PiT arch:, er score: 591.4588317871094
The 50-th PiT arch:, er score: 442.1024146080017
The 51-th PiT arch:, er score: 210.53216648101807
The 52-th PiT arch:, er score: 389.6651873588562
The 53-th PiT arch:, er score: 734.2621960639954
The 54-th PiT arch:, er score: 325.74928402900696
The 55-th PiT arch:, er score: 315.77694296836853
The 56-th PiT arch:, er score: 241.32847690582275
The 57-th PiT arch:, er score: 455.0104899406433
The 58-th PiT arch:, er score: 730.9954946041107
The 59-th PiT arch:, er score: 226.10063934326172
The 60-th PiT arch:, er score: 300.62509870529175
The 61-th PiT arch:, er score: 393.0223665237427
The 62-th PiT arch:, er score: 518.9013230800629
The 63-th PiT arch:, er score: 394.8703520298004
The 64-th PiT arch:, er score: 277.0389783382416
The 65-th PiT arch:, er score: 523.4047968387604
The 66-th PiT arch:, er score: 232.70633053779602
The 67-th PiT arch:, er score: 603.7358844280243
The 68-th PiT arch:, er score: 308.8476059436798
The 69-th PiT arch:, er score: 459.0452711582184
The 70-th PiT arch:, er score: 547.3774828910828
The 71-th PiT arch:, er score: 480.43834233283997
The 72-th PiT arch:, er score: 645.187502861023
The 73-th PiT arch:, er score: 949.2132151126862
The 74-th PiT arch:, er score: 408.3715217113495
The 75-th PiT arch:, er score: 346.8651783466339
The 76-th PiT arch:, er score: 515.9708061218262
The 77-th PiT arch:, er score: 161.21857464313507
The 78-th PiT arch:, er score: 767.870617389679
The 79-th PiT arch:, er score: 404.87731552124023
The 80-th PiT arch:, er score: 445.8943917751312
The 81-th PiT arch:, er score: 811.1054918766022
The 82-th PiT arch:, er score: 359.75119376182556
The 83-th PiT arch:, er score: 511.43807554244995
The 84-th PiT arch:, er score: 589.4139994382858
The 85-th PiT arch:, er score: 560.9540164470673
The 86-th PiT arch:, er score: 329.80263805389404
The 87-th PiT arch:, er score: 512.1993179321289
The 88-th PiT arch:, er score: 280.1175718307495
The 89-th PiT arch:, er score: 265.164701461792
The 90-th PiT arch:, er score: 265.0448389053345
The 91-th PiT arch:, er score: 289.37349820137024
The 92-th PiT arch:, er score: 527.934033870697
The 93-th PiT arch:, er score: 589.1384129524231
The 94-th PiT arch:, er score: 488.7078607082367
The 95-th PiT arch:, er score: 1011.7451496124268
The 96-th PiT arch:, er score: 506.5226948261261
The 97-th PiT arch:, er score: 810.4782717227936
The 98-th PiT arch:, er score: 328.10884141921997
The 99-th PiT arch:, er score: 490.14978754520416
Rank consistency on dataset chaoyang: kendall: 0.3493103347951269, spearman: 0.5042547972140665, pearson: 0.4363355162708432
Finished, time cost: 0.10063502073287964 hour.
