save_dir            : ./work_dirs/rank/PiT_kd
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_c100_kd.yaml
other_zc            : er
ds                  : cifar100
Build er ....
The 0-th PiT arch:, er score: 337.6086058616638
The 1-th PiT arch:, er score: 179.92721819877625
The 2-th PiT arch:, er score: 377.56291007995605
The 3-th PiT arch:, er score: 221.3630850315094
The 4-th PiT arch:, er score: 331.6393196582794
The 5-th PiT arch:, er score: 363.4039783477783
The 6-th PiT arch:, er score: 585.613204240799
The 7-th PiT arch:, er score: 419.8744103908539
The 8-th PiT arch:, er score: 631.3689765930176
The 9-th PiT arch:, er score: 341.06308794021606
The 10-th PiT arch:, er score: 613.1359238624573
The 11-th PiT arch:, er score: 391.4196572303772
The 12-th PiT arch:, er score: 320.23380064964294
The 13-th PiT arch:, er score: 334.75048899650574
The 14-th PiT arch:, er score: 425.79618763923645
The 15-th PiT arch:, er score: 289.39990615844727
The 16-th PiT arch:, er score: 480.2969387769699
The 17-th PiT arch:, er score: 319.75195598602295
The 18-th PiT arch:, er score: 505.803316116333
The 19-th PiT arch:, er score: 442.58850598335266
The 20-th PiT arch:, er score: 602.7293019294739
The 21-th PiT arch:, er score: 701.6900186538696
The 22-th PiT arch:, er score: 642.3646287918091
The 23-th PiT arch:, er score: 430.72601556777954
The 24-th PiT arch:, er score: 587.6313099861145
The 25-th PiT arch:, er score: 160.56702041625977
The 26-th PiT arch:, er score: 415.9670042991638
The 27-th PiT arch:, er score: 595.7388575077057
The 28-th PiT arch:, er score: 484.2087593078613
The 29-th PiT arch:, er score: 199.59659695625305
The 30-th PiT arch:, er score: 267.6368353366852
The 31-th PiT arch:, er score: 229.56578636169434
The 32-th PiT arch:, er score: 338.9696435928345
The 33-th PiT arch:, er score: 609.5113799571991
The 34-th PiT arch:, er score: 683.404566526413
The 35-th PiT arch:, er score: 474.7960202693939
The 36-th PiT arch:, er score: 230.36483502388
The 37-th PiT arch:, er score: 318.6180293560028
The 38-th PiT arch:, er score: 492.4284782409668
The 39-th PiT arch:, er score: 309.22460436820984
The 40-th PiT arch:, er score: 243.80531466007233
The 41-th PiT arch:, er score: 588.886638879776
The 42-th PiT arch:, er score: 475.9687132835388
The 43-th PiT arch:, er score: 680.5291585922241
The 44-th PiT arch:, er score: 539.7980408668518
The 45-th PiT arch:, er score: 441.76804637908936
The 46-th PiT arch:, er score: 403.5697581768036
The 47-th PiT arch:, er score: 322.8821806907654
The 48-th PiT arch:, er score: 346.7985141277313
The 49-th PiT arch:, er score: 600.359968662262
The 50-th PiT arch:, er score: 421.5402706861496
The 51-th PiT arch:, er score: 204.65265226364136
The 52-th PiT arch:, er score: 397.3778512477875
The 53-th PiT arch:, er score: 763.0248515605927
The 54-th PiT arch:, er score: 306.5811493396759
The 55-th PiT arch:, er score: 335.783616065979
The 56-th PiT arch:, er score: 235.33059692382812
The 57-th PiT arch:, er score: 465.0365149974823
The 58-th PiT arch:, er score: 692.9125473499298
The 59-th PiT arch:, er score: 228.15466594696045
The 60-th PiT arch:, er score: 314.32195496559143
The 61-th PiT arch:, er score: 404.64861035346985
The 62-th PiT arch:, er score: 549.63982629776
The 63-th PiT arch:, er score: 406.4434275627136
The 64-th PiT arch:, er score: 287.01604747772217
The 65-th PiT arch:, er score: 536.8817899227142
The 66-th PiT arch:, er score: 241.04138016700745
The 67-th PiT arch:, er score: 621.3287582397461
The 68-th PiT arch:, er score: 303.4185131788254
The 69-th PiT arch:, er score: 502.30320286750793
The 70-th PiT arch:, er score: 546.4882652759552
The 71-th PiT arch:, er score: 480.2418313026428
The 72-th PiT arch:, er score: 651.9108953475952
The 73-th PiT arch:, er score: 905.3841304779053
The 74-th PiT arch:, er score: 419.17216861248016
The 75-th PiT arch:, er score: 347.8305296897888
The 76-th PiT arch:, er score: 543.3811967372894
The 77-th PiT arch:, er score: 163.61339259147644
The 78-th PiT arch:, er score: 777.7436048984528
The 79-th PiT arch:, er score: 410.1942141056061
The 80-th PiT arch:, er score: 440.1635477542877
The 81-th PiT arch:, er score: 763.710636138916
The 82-th PiT arch:, er score: 365.63276505470276
The 83-th PiT arch:, er score: 505.3625023365021
The 84-th PiT arch:, er score: 577.0601933002472
The 85-th PiT arch:, er score: 578.3752071857452
The 86-th PiT arch:, er score: 318.5679187774658
The 87-th PiT arch:, er score: 511.9604721069336
The 88-th PiT arch:, er score: 274.5201760530472
The 89-th PiT arch:, er score: 268.81702709198
The 90-th PiT arch:, er score: 266.4766426086426
The 91-th PiT arch:, er score: 282.7206161022186
The 92-th PiT arch:, er score: 526.6414549350739
The 93-th PiT arch:, er score: 579.4205164909363
The 94-th PiT arch:, er score: 486.59347343444824
The 95-th PiT arch:, er score: 1025.1939797401428
The 96-th PiT arch:, er score: 489.23313570022583
The 97-th PiT arch:, er score: 820.7010633945465
The 98-th PiT arch:, er score: 317.63144278526306
The 99-th PiT arch:, er score: 487.92918729782104
Rank consistency on dataset cifar100: kendall: 0.32787554037789723, spearman: 0.42957869035506185, pearson: 0.3852930736701886
Finished, time cost: 0.09171325670348274 hour.
