save_dir            : ./work_dirs/rank/PiT_kd
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_flowers_kd.yaml
other_zc            : er
ds                  : flowers
Build er ....
The 0-th PiT arch:, er score: 339.74100613594055
The 1-th PiT arch:, er score: 141.93421626091003
The 2-th PiT arch:, er score: 350.37658500671387
The 3-th PiT arch:, er score: 223.2090209722519
The 4-th PiT arch:, er score: 323.53156661987305
The 5-th PiT arch:, er score: 360.90847873687744
The 6-th PiT arch:, er score: 575.3164253234863
The 7-th PiT arch:, er score: 416.6874370574951
The 8-th PiT arch:, er score: 616.2366421222687
The 9-th PiT arch:, er score: 348.34670543670654
The 10-th PiT arch:, er score: 643.2659182548523
The 11-th PiT arch:, er score: 407.2143020629883
The 12-th PiT arch:, er score: 303.8863248825073
The 13-th PiT arch:, er score: 364.4308297634125
The 14-th PiT arch:, er score: 441.0028736591339
The 15-th PiT arch:, er score: 276.4177896976471
The 16-th PiT arch:, er score: 479.8060772418976
The 17-th PiT arch:, er score: 312.7325060367584
The 18-th PiT arch:, er score: 489.92038345336914
The 19-th PiT arch:, er score: 444.4742946624756
The 20-th PiT arch:, er score: 607.8879239559174
The 21-th PiT arch:, er score: 694.9957704544067
The 22-th PiT arch:, er score: 621.6386473178864
The 23-th PiT arch:, er score: 437.5038855075836
The 24-th PiT arch:, er score: 595.4901490211487
The 25-th PiT arch:, er score: 152.32528924942017
The 26-th PiT arch:, er score: 394.82864260673523
The 27-th PiT arch:, er score: 586.3288426399231
The 28-th PiT arch:, er score: 479.54037714004517
The 29-th PiT arch:, er score: 198.79632782936096
The 30-th PiT arch:, er score: 266.13680052757263
The 31-th PiT arch:, er score: 232.12092304229736
The 32-th PiT arch:, er score: 367.9238610267639
The 33-th PiT arch:, er score: 608.5666635036469
The 34-th PiT arch:, er score: 662.8624777793884
The 35-th PiT arch:, er score: 466.95985674858093
The 36-th PiT arch:, er score: 222.58941650390625
The 37-th PiT arch:, er score: 317.98360443115234
The 38-th PiT arch:, er score: 489.620400428772
The 39-th PiT arch:, er score: 314.45799565315247
The 40-th PiT arch:, er score: 235.59527444839478
The 41-th PiT arch:, er score: 582.8657987117767
The 42-th PiT arch:, er score: 475.6383943557739
The 43-th PiT arch:, er score: 662.5284223556519
The 44-th PiT arch:, er score: 528.5063028335571
The 45-th PiT arch:, er score: 435.7089469432831
The 46-th PiT arch:, er score: 390.76873683929443
The 47-th PiT arch:, er score: 315.622300863266
The 48-th PiT arch:, er score: 340.3013668060303
The 49-th PiT arch:, er score: 607.143926858902
The 50-th PiT arch:, er score: 442.28773975372314
The 51-th PiT arch:, er score: 199.87567782402039
The 52-th PiT arch:, er score: 395.94724464416504
The 53-th PiT arch:, er score: 756.0088062286377
The 54-th PiT arch:, er score: 305.83716654777527
The 55-th PiT arch:, er score: 320.217022895813
The 56-th PiT arch:, er score: 238.83176040649414
The 57-th PiT arch:, er score: 463.6989006996155
The 58-th PiT arch:, er score: 709.7689063549042
The 59-th PiT arch:, er score: 221.7858738899231
The 60-th PiT arch:, er score: 317.9957182407379
The 61-th PiT arch:, er score: 411.92628240585327
The 62-th PiT arch:, er score: 548.6598069667816
The 63-th PiT arch:, er score: 415.896452665329
The 64-th PiT arch:, er score: 281.19212317466736
The 65-th PiT arch:, er score: 542.2788631916046
The 66-th PiT arch:, er score: 241.73211693763733
The 67-th PiT arch:, er score: 614.7840533256531
The 68-th PiT arch:, er score: 303.6541998386383
The 69-th PiT arch:, er score: 471.63173842430115
The 70-th PiT arch:, er score: 543.1797003746033
The 71-th PiT arch:, er score: 472.07224583625793
The 72-th PiT arch:, er score: 676.9941017627716
The 73-th PiT arch:, er score: 908.0919861793518
The 74-th PiT arch:, er score: 413.3624713420868
The 75-th PiT arch:, er score: 353.3541626930237
The 76-th PiT arch:, er score: 530.2039928436279
The 77-th PiT arch:, er score: 161.20025968551636
The 78-th PiT arch:, er score: 768.5776953697205
The 79-th PiT arch:, er score: 404.48407316207886
The 80-th PiT arch:, er score: 445.67742228507996
The 81-th PiT arch:, er score: 814.0901894569397
The 82-th PiT arch:, er score: 355.34619426727295
The 83-th PiT arch:, er score: 525.2486987113953
The 84-th PiT arch:, er score: 599.4769427776337
The 85-th PiT arch:, er score: 593.0635011196136
The 86-th PiT arch:, er score: 315.7117166519165
The 87-th PiT arch:, er score: 508.46103525161743
The 88-th PiT arch:, er score: 295.63913774490356
The 89-th PiT arch:, er score: 259.74518299102783
The 90-th PiT arch:, er score: 266.1486396789551
The 91-th PiT arch:, er score: 283.67161190509796
The 92-th PiT arch:, er score: 516.8394128084183
The 93-th PiT arch:, er score: 599.8776001930237
The 94-th PiT arch:, er score: 486.11056303977966
The 95-th PiT arch:, er score: 1023.776939868927
The 96-th PiT arch:, er score: 488.2073404788971
The 97-th PiT arch:, er score: 802.137487411499
The 98-th PiT arch:, er score: 321.6972441673279
The 99-th PiT arch:, er score: 497.730427980423
Rank consistency on dataset flowers: kendall: 0.37355980186088417, spearman: 0.4899038087288037, pearson: 0.4481484885911694
Finished, time cost: 0.11206179334057702 hour.
