save_dir            : ./work_dirs/rank
gt_path             : ./gt_results/gt_autoformer.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_c100_base.yaml
other_zc            : er
Build er ....
The 0-th AutoFormerSub arch:, er score: 100.60772705078125
The 1-th AutoFormerSub arch:, er score: 115.76426982879639
The 2-th AutoFormerSub arch:, er score: 108.35902118682861
The 3-th AutoFormerSub arch:, er score: 116.82567691802979
The 4-th AutoFormerSub arch:, er score: 99.94282150268555
The 5-th AutoFormerSub arch:, er score: 116.60496711730957
The 6-th AutoFormerSub arch:, er score: 107.85612392425537
The 7-th AutoFormerSub arch:, er score: 107.17050647735596
The 8-th AutoFormerSub arch:, er score: 99.90433502197266
The 9-th AutoFormerSub arch:, er score: 116.05203056335449
The 10-th AutoFormerSub arch:, er score: 115.6681776046753
The 11-th AutoFormerSub arch:, er score: 99.81861400604248
The 12-th AutoFormerSub arch:, er score: 100.38469409942627
The 13-th AutoFormerSub arch:, er score: 108.67619705200195
The 14-th AutoFormerSub arch:, er score: 108.42966747283936
The 15-th AutoFormerSub arch:, er score: 116.67362308502197
The 16-th AutoFormerSub arch:, er score: 100.04475975036621
The 17-th AutoFormerSub arch:, er score: 116.89815330505371
The 18-th AutoFormerSub arch:, er score: 100.33452415466309
The 19-th AutoFormerSub arch:, er score: 116.93203639984131
The 20-th AutoFormerSub arch:, er score: 108.17811870574951
The 21-th AutoFormerSub arch:, er score: 108.20750331878662
The 22-th AutoFormerSub arch:, er score: 99.84415912628174
The 23-th AutoFormerSub arch:, er score: 115.82047080993652
The 24-th AutoFormerSub arch:, er score: 108.97811317443848
The 25-th AutoFormerSub arch:, er score: 108.2609281539917
The 26-th AutoFormerSub arch:, er score: 117.03513526916504
The 27-th AutoFormerSub arch:, er score: 108.27428817749023
The 28-th AutoFormerSub arch:, er score: 107.87067890167236
The 29-th AutoFormerSub arch:, er score: 100.4104585647583
The 30-th AutoFormerSub arch:, er score: 108.16959190368652
The 31-th AutoFormerSub arch:, er score: 116.2487850189209
The 32-th AutoFormerSub arch:, er score: 108.15513324737549
The 33-th AutoFormerSub arch:, er score: 108.68180179595947
The 34-th AutoFormerSub arch:, er score: 99.895339012146
The 35-th AutoFormerSub arch:, er score: 99.86483764648438
The 36-th AutoFormerSub arch:, er score: 117.15448760986328
The 37-th AutoFormerSub arch:, er score: 108.21696186065674
The 38-th AutoFormerSub arch:, er score: 108.05027294158936
The 39-th AutoFormerSub arch:, er score: 99.26086711883545
The 40-th AutoFormerSub arch:, er score: 100.38752269744873
The 41-th AutoFormerSub arch:, er score: 99.3035249710083
The 42-th AutoFormerSub arch:, er score: 100.6751880645752
The 43-th AutoFormerSub arch:, er score: 116.9763298034668
The 44-th AutoFormerSub arch:, er score: 116.92646884918213
The 45-th AutoFormerSub arch:, er score: 117.41203498840332
The 46-th AutoFormerSub arch:, er score: 108.58049392700195
The 47-th AutoFormerSub arch:, er score: 107.51317501068115
The 48-th AutoFormerSub arch:, er score: 116.09976387023926
The 49-th AutoFormerSub arch:, er score: 116.84466457366943
The 50-th AutoFormerSub arch:, er score: 108.6966199874878
The 51-th AutoFormerSub arch:, er score: 116.07380771636963
The 52-th AutoFormerSub arch:, er score: 108.52966117858887
The 53-th AutoFormerSub arch:, er score: 108.7385082244873
The 54-th AutoFormerSub arch:, er score: 116.03759574890137
The 55-th AutoFormerSub arch:, er score: 116.42052268981934
The 56-th AutoFormerSub arch:, er score: 116.75376892089844
The 57-th AutoFormerSub arch:, er score: 99.78759574890137
